molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label
CHEMBL2046550,C/C(=C(/OCCOc1ccc(Cl)cc1)c1ccc(Cl)cc1Cl)n1ccnc1,2345.7,nM,IC50,5.63,Unchecked,cell-based format
CHEMBL27289,C=C(c1ccccc1OCc1cccc(Cl)c1)n1ccnc1,18920.0,nM,IC50,4.72,SARS-CoV-2,organism-based format
CHEMBL1276010,C=CCCCCCCCCC(=O)O,2700.0,nM,IC50,5.57,Filobasidiella neoformans,organism-based format
CHEMBL356918,C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl,23000.0,nM,IC50,4.64,"Indoleamine 2,3-dioxygenase",single protein format
CHEMBL157101,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,0.71,nM,IC50,9.15,Unchecked,cell membrane format
CHEMBL295698,CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,26.9,nM,IC50,7.57,Cytochrome P450 3A4,microsome format
CHEMBL1306,CC(C)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,317.0,nM,IC50,6.5,Unchecked,cell membrane format
CHEMBL1908343,CC1OC2OC(=O)OC2C2=C1C(=O)c1c(O)cccc1C2=O,70.0,nM,IC50,7.16,NON-PROTEIN TARGET,cell-based format
CHEMBL499808,CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,0.24,nM,IC50,9.62,"Beta-1,3-glucan synthase",single protein format
CHEMBL64391,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,4.0,nM,IC50,8.4,Trypanosoma cruzi,organism-based format
CHEMBL270271,CCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,210.0,nM,IC50,6.68,Cytochrome P450 3A4,assay format
CHEMBL2103748,CCCCCCCCOc1ccc(C(=O)N[C@H]2C[C@@H](O)[C@@H](O)NC(=O)[C@@H]3[C@@H](O)[C@@H](C)CN3C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c3ccc(O)cc3)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@H]([C@@H](C)O)NC2=O)cc1,1000.0,nM,IC50,6.0,Candida albicans,organism-based format
CHEMBL457547,CCCCCOc1ccc(-c2cc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@H](O)CC(N)=O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)c(OS(=O)(=O)O)c5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)no2)cc1,21000.0,nM,IC50,4.68,ATP-binding cassette sub-family G member 2,cell membrane format
CHEMBL264241,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1,4640.0,nM,IC50,5.33,SARS-CoV-2,organism-based format
CHEMBL459008,CCCCOC(=O)c1ccc(O)cc1,1420.0,nM,IC50,5.85,Estrogen receptor alpha,single protein format
CHEMBL1397,CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,0.25,nM,IC50,9.6,Trypanosoma cruzi,organism-based format
CHEMBL256105,CC[C@@]1([C@@H]2O[C@@H]([C@H]3O[C@@](O)(CO)[C@H](C)C[C@@H]3C)C[C@@H]2C)CC[C@H]([C@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H](OC)[C@H](C)C(=O)O)O3)O2)O1,90.0,nM,IC50,7.05,MV4-11,cell-based format
CHEMBL120563,CN(C)C(=S)SSC(=S)N(C)C,20.0,nM,IC50,7.7,Aldehyde dehydrogenase 1A1,single protein format
CHEMBL592105,CN(C)c1ccc(C(O)(c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)cc1,35.0,nM,IC50,7.46,Hexose transporter 1,assay format
CHEMBL822,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,10.0,nM,IC50,8.0,Trichophyton quinckeanum,organism-based format
CHEMBL626,CN(C/C=C/c1ccccc1)Cc1cccc2ccccc12,284.0,nM,IC50,6.55,Unchecked,assay format
CHEMBL1200493,CN(C/C=C/c1ccccc1)Cc1cccc2ccccc12.Cl,296.0,nM,IC50,6.53,Staphylococcus aureus,organism-based format
CHEMBL990,CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,254.7,nM,IC50,6.59,Unchecked,cell membrane format
