molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label
CHEMBL124363,C#C[C@@]1(CO)C=C[C@H](n2cc(C)c(=O)[nH]c2=O)O1,200.0,nM,IC50,6.7,Human immunodeficiency virus 1,organism-based format
CHEMBL517231,C#C[C@]1(CO)O[C@@H](n2cnc3c(N)nc(F)nc32)C[C@@H]1O,0.21,nM,IC50,9.68,Human immunodeficiency virus 1,organism-based format
CHEMBL404519,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,10.0,nM,IC50,8.0,Human immunodeficiency virus 1,organism-based format
CHEMBL713,C=C1[C@H](CO)[C@@H](O)C[C@@H]1n1cnc2c(=O)[nH]c(N)nc21,0.06,nM,IC50,10.22,Hepatitis B virus,organism-based format
CHEMBL473882,C=C1[C@H](OP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)C[C@@H]1n1cnc2c(=O)[nH]c(N)nc21,0.43,nM,IC50,9.37,Hepatitis B virus,organism-based format
CHEMBL1241348,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3csc(NC(=O)C(C)C)n3)nc3c(Br)c(OC)ccc23)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)O,3.0,nM,IC50,8.52,Unchecked,assay format
CHEMBL2105735,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2ncc(OC)c3ccc(Cl)cc23)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,0.4,nM,IC50,9.4,Unchecked,assay format
CHEMBL2063090,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C(C)(C)C)NC(=O)O[C@@H]1C[C@H]1CCCCCc1nc3ccc(OC)cc3nc1O2)C(=O)NS(=O)(=O)C1CC1,0.01,nM,IC50,11.0,Unchecked,assay format
CHEMBL222813,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N,0.03,nM,IC50,10.52,Neuraminidase,single protein format
CHEMBL37624,CC(=O)c1ccc(C)cc1NC(C(N)=O)c1c(Cl)cccc1Cl,6.0,nM,IC50,8.22,Human immunodeficiency virus 1,organism-based format
CHEMBL922,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,60.8,nM,IC50,7.22,Unchecked,cell-based format
CHEMBL218394,CC(C)(C)NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C,32.0,nM,IC50,7.5,Chymase,single protein format
CHEMBL115,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,0.36,nM,IC50,9.44,Human immunodeficiency virus type 1 protease,single protein format
CHEMBL1735,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O.O=S(=O)(O)O,0.41,nM,IC50,9.39,Human immunodeficiency virus type 1 protease,single protein format
CHEMBL114,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,0.2,nM,IC50,9.7,Human immunodeficiency virus type 1 protease,single protein format
CHEMBL258734,CC(C)(C)OC(=O)N[C@H]1CCCCC/C=C\[C@@H]2C[C@@]2(C(=O)NS(=O)(=O)C2CC2)NC(=O)[C@@H]2C[C@@H](OC(=O)N3Cc4cccc(F)c4C3)CN2C1=O,0.2,nM,IC50,9.7,Unchecked,assay format
CHEMBL4802135,CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C2(C)C,0.79,nM,IC50,9.1,Replicase polyprotein 1ab,assay format
CHEMBL2178578,CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cc[n+]([O-])cc2)cc1,2.6,nM,IC50,8.59,C-C chemokine receptor type 9,cell-based format
CHEMBL58711,CC(C)=CCN1Cc2c(Cl)ccc3[nH]c(=S)n(c23)C[C@@H]1C,3.0,nM,IC50,8.52,Human immunodeficiency virus 1,organism-based format
CHEMBL116,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,1.0,nM,IC50,9.0,Human immunodeficiency virus type 1 protease,single protein format
CHEMBL1323,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,0.013,nM,IC50,10.89,Protease,assay format
CHEMBL322241,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1)C(=O)NC(C)(C)C,6.0,nM,IC50,8.22,Human immunodeficiency virus type 1 protease,single protein format
CHEMBL1282,CC(C)Cn1cnc2c(N)nc3ccccc3c21,646.0,nM,IC50,6.19,"7,8-dihydro-8-oxoguanine triphosphatase",single protein format
CHEMBL593,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,0.846,nM,IC50,9.07,Plasmodium yoelii yoelii,organism-based format
CHEMBL929,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1.CS(=O)(=O)O,9.0,nM,IC50,8.05,Human immunodeficiency virus 1,organism-based format
CHEMBL1486,CC(C)OC(=O)OCOP(=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)OCOC(=O)OC(C)C.O=C(O)/C=C/C(=O)O,14.0,nM,IC50,7.85,Human immunodeficiency virus 1,organism-based format
CHEMBL2107825,CC(C)OC(=O)[C@H](C)N[P@](=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)Oc1ccccc1,1.0,nM,IC50,9.0,Human immunodeficiency virus 1,assay format
CHEMBL1259059,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,20.0,nM,IC50,7.7,Unchecked,cell-based format
CHEMBL283403,CC(C)S(=O)(=O)n1c(N)nc2ccc(/C(=N/O)c3ccccc3)cc21,40.0,nM,IC50,7.4,Human rhinovirus sp.,organism-based format
CHEMBL13134,CC(C)[C@H](NC(=O)c1ccc2ccccc2n1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1CC[C@@H](OCc2ccncc2)C[C@H]1C(=O)NC(C)(C)C,4.0,nM,IC50,8.4,Human immunodeficiency virus type 1 protease,single protein format
CHEMBL163,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,0.6,nM,IC50,9.22,Protease,single protein format
CHEMBL435128,CC(C)c1nc(COC(N)=O)n(Cc2ccncc2)c1Sc1cc(Cl)cc(Cl)c1,0.35,nM,IC50,9.46,Unchecked,assay format
CHEMBL959,CC(N)C12CC3CC(CC(C3)C1)C2,35.6,nM,IC50,7.45,Plasmodium yoelii yoelii,organism-based format
CHEMBL535396,CC(N)C12CC3CC(CC(C3)C1)C2.Cl,7040.0,nM,IC50,5.15,Trypanosoma brucei,organism-based format
CHEMBL807,CC12CC3CC(C)(C1)CC(N)(C3)C2,0.95,nM,IC50,9.02,Glutamate NMDA receptor; GRIN1/GRIN2A,cell-based format
CHEMBL1699,CC12CC3CC(C)(C1)CC(N)(C3)C2.Cl,1376.1,nM,IC50,5.86,Glutamate NMDA receptor; Grin1/Grin2a,cell-based format
CHEMBL4065616,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,2.0,nM,IC50,8.7,SARS-CoV-2,organism-based format
CHEMBL674,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,0.016,nM,IC50,10.8,Unchecked,assay format
CHEMBL139367,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)O)C[C@H]1NC(=N)N,0.07,nM,IC50,10.15,Neuraminidase,cell-based format
CHEMBL467058,CCCCCCCC(=O)OC[C@@H](O)[C@@H](OC)[C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1NC(C)=O,39.2,nM,IC50,7.41,Neuraminidase,single protein format
CHEMBL203321,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,600.0,nM,IC50,6.22,Cowpox virus,organism-based format
CHEMBL1773,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,4.33,nM,IC50,8.36,NON-PROTEIN TARGET,cell-based format
CHEMBL1255794,CCCCN1C(=O)[C@@H]([C@H](O)C2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccc(C(=O)O)cc3)cc1)CC2,0.1,nM,IC50,10.0,Human immunodeficiency virus 1,organism-based format
CHEMBL1668019,CCCCN1C(=O)[C@@H]([C@H](O)C2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccc(C(=O)O)cc3)cc1)CC2.Cl,0.4,nM,IC50,9.4,Human immunodeficiency virus 1,organism-based format
CHEMBL2110727,CCCCOCCOc1ccc(-c2ccc3c(c2)/C=C(/C(=O)Nc2ccc([S@@+]([O-])Cc4cncn4CCC)cc2)CCCN3CC(C)C)cc1,0.25,nM,IC50,9.6,C-C chemokine receptor type 5,cell-based format
CHEMBL2105686,CCCCOCCOc1ccc(-c2ccc3c(c2)/C=C(/C(=O)Nc2ccc([S@@+]([O-])Cc4cncn4CCC)cc2)CCCN3CC(C)C)cc1.CS(=O)(=O)O,0.024,nM,IC50,10.62,Human immunodeficiency virus 1,organism-based format
CHEMBL1255891,CCCC[C@H](NC(=O)[C@@H]1[C@@H]2[C@H](CN1C(=O)[C@@H](NC(=O)NC1(CS(=O)(=O)C(C)(C)C)CCCCC1)C(C)(C)C)C2(C)C)C(=O)C(=O)NC1CC1,5730.0,nM,IC50,5.24,Replicase polyprotein 1ab,single protein format
CHEMBL222559,CCC[C@@]1(CCc2ccccc2)CC(O)=C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1,1.0,nM,IC50,9.0,Human immunodeficiency virus 1,organism-based format
CHEMBL47298,CCN(CC)CCOc1ccc2c(c1)C(=O)c1cc(OCCN(CC)CC)ccc1-2,1140.0,nM,IC50,5.94,Ebolavirus,organism-based format
CHEMBL539581,CCN(CC)CCOc1ccc2c(c1)C(=O)c1cc(OCCN(CC)CC)ccc1-2.Cl.Cl,32630.0,nM,IC50,4.49,A549,cell-based format
CHEMBL280527,CCNc1cccnc1N1CCN(C(=O)c2cc3cc(OC)ccc3[nH]2)CC1,1.0,nM,IC50,9.0,Human immunodeficiency virus 1,organism-based format
CHEMBL78535,CCO/N=C(\c1ccc(Br)cc1)C1CCN(C2(C)CCN(C(=O)c3c(C)cc[n+]([O-])c3C)CC2)CC1,0.6,nM,IC50,9.22,U-87 MG,cell-based format
CHEMBL20210,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccc(F)cc1,23.0,nM,IC50,7.64,Human rhinovirus A protease,single protein format
CHEMBL1229,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,0.06,nM,IC50,10.22,Neuraminidase,single protein format
