molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label
CHEMBL55641,FC(F)(F)c1nc2ccccc2[nH]1,69.0,nM,IC50,7.16,Entamoeba histolytica,organism-based format
CHEMBL53788,FC(F)(F)c1nc2cc(Cl)ccc2[nH]1,22.0,nM,IC50,7.66,Entamoeba histolytica,organism-based format
CHEMBL137,Cc1ncc([N+](=O)[O-])n1CCO,350.0,nM,IC50,6.46,Entamoeba histolytica,organism-based format
CHEMBL56473,Cn1c(C(F)(F)F)nc2cc(Cl)ccc21,46.0,nM,IC50,7.34,Entamoeba histolytica,organism-based format
CHEMBL293520,Cn1c(C(F)(F)F)nc2ccccc21,40.0,nM,IC50,7.40,Entamoeba histolytica,organism-based format
CHEMBL56234,FC(F)(F)c1nc2cc(Cl)c(Cl)cc2[nH]1,11.0,nM,IC50,7.96,Entamoeba histolytica,organism-based format
CHEMBL56179,Cn1c(C(F)(F)F)nc2ccc(Cl)cc21,8.0,nM,IC50,8.10,Entamoeba histolytica,organism-based format
CHEMBL54544,Cn1c(C(F)(F)F)nc2cc(Cl)c(Cl)cc21,33.0,nM,IC50,7.48,Entamoeba histolytica,organism-based format
CHEMBL1483,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,56330.0,nM,IC50,4.25,Entamoeba histolytica,organism-based format
CHEMBL116674,CCC/N=C(\S)N/N=C/c1ccc([N+](=O)[O-])s1,15380.0,nM,IC50,4.81,Entamoeba histolytica,organism-based format
CHEMBL116244,O=[N+]([O-])c1ccc(/C=N/N=C(\S)NC2CCCCC2)s1,2410.0,nM,IC50,5.62,Entamoeba histolytica,organism-based format
CHEMBL326359,CC(C)/N=C(\S)N/N=C/c1ccc([N+](=O)[O-])s1,9600.0,nM,IC50,5.02,Entamoeba histolytica,organism-based format
CHEMBL116138,CCCC/N=C(\S)N/N=C/c1ccc([N+](=O)[O-])s1,12170.0,nM,IC50,4.92,Entamoeba histolytica,organism-based format
CHEMBL117124,CCCN(CCC)/C(S)=N/N=C/c1ccc([N+](=O)[O-])s1,6400.0,nM,IC50,5.19,Entamoeba histolytica,organism-based format
CHEMBL116141,CCC(C)N(/C(S)=N/N=C/c1ccc([N+](=O)[O-])s1)C(C)CC,11630.0,nM,IC50,4.93,Entamoeba histolytica,organism-based format
CHEMBL323864,CN(/C(S)=N/N=C/c1ccc([N+](=O)[O-])s1)C1CCCCC1,8300.0,nM,IC50,5.08,Entamoeba histolytica,organism-based format
CHEMBL116243,O=[N+]([O-])c1ccc(/C=N/N=C(\S)N2CCCCCC2)s1,1710.0,nM,IC50,5.77,Entamoeba histolytica,organism-based format
CHEMBL325000,CCC(C)/N=C(\S)N/N=C/c1ccc([N+](=O)[O-])s1,13500.0,nM,IC50,4.87,Entamoeba histolytica,organism-based format
CHEMBL324374,CCN(CC)/C(S)=N/N=C/c1ccc([N+](=O)[O-])s1,10100.0,nM,IC50,5.00,Entamoeba histolytica,organism-based format
CHEMBL332475,O=[N+]([O-])c1ccc(/C=N/N=C(\S)NC2CCCC2)s1,2860.0,nM,IC50,5.54,Entamoeba histolytica,organism-based format
CHEMBL416771,C/C(=N\NC(N)=S)c1ccccn1,0.31,ug.mL-1,IC50,,Entamoeba histolytica,organism-based format
CHEMBL611707,,0.26,ug.mL-1,IC50,,Entamoeba histolytica,organism-based format
CHEMBL72683,c1ccc(-c2nc3ccccc3[nH]2)nc1,0.42,ug.mL-1,IC50,,Entamoeba histolytica,organism-based format
CHEMBL73007,CS/C(S)=N/N=C(\C)c1ccccn1,0.38,ug.mL-1,IC50,,Entamoeba histolytica,organism-based format
CHEMBL72739,C/C(=N\N=C(/S)SCc1ccccc1)c1ccccn1,0.4,ug.mL-1,IC50,,Entamoeba histolytica,organism-based format
CHEMBL55221,O=P(O)(O)C(O)(C1CCCCC1)P(=O)(O)O,200000.0,nM,IC50,,Entamoeba histolytica,organism-based format
CHEMBL55779,O=P(O)(O)C(N(C1CCCCC1)C1CCCCC1)P(=O)(O)O,200000.0,nM,IC50,,Entamoeba histolytica,organism-based format
CHEMBL301857,O=P(O)(O)C(Nc1cccnc1Cl)P(=O)(O)O,200000.0,nM,IC50,,Entamoeba histolytica,organism-based format
CHEMBL298547,CCCCCCCC(O)(P(=O)(O)O)P(=O)(O)O,22300.0,nM,IC50,4.65,Entamoeba histolytica,organism-based format
CHEMBL300361,O=P(O)(O)C(O)(C1CC1)P(=O)(O)O,200000.0,nM,IC50,,Entamoeba histolytica,organism-based format
CHEMBL52251,CCCCCCCCNC(P(=O)(O)O)P(=O)(O)O,31100.0,nM,IC50,4.51,Entamoeba histolytica,organism-based format
CHEMBL301854,O=P(O)(O)C(Nc1ccc(O)nc1)P(=O)(O)O,96100.0,nM,IC50,4.02,Entamoeba histolytica,organism-based format
CHEMBL417198,CCOP(=O)(OCC)C(Nc1cc(C)ccn1)P(=O)(OCC)OCC,200000.0,nM,IC50,,Entamoeba histolytica,organism-based format
CHEMBL924,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,12000.0,nM,IC50,4.92,Entamoeba histolytica,organism-based format
CHEMBL55359,O=P(O)(O)C(O)(CSc1ccncc1)P(=O)(O)O,200000.0,nM,IC50,,Entamoeba histolytica,organism-based format
CHEMBL54537,CN(CCCc1ccccc1)CCC(O)(P(=O)(O)O)P(=O)(O)O,45100.0,nM,IC50,4.35,Entamoeba histolytica,organism-based format
CHEMBL55371,O=P(O)(O)C(Nc1cccc(-c2ccccc2)c1)P(=O)(O)O,6600.0,nM,IC50,5.18,Entamoeba histolytica,organism-based format
CHEMBL294192,O=P(O)(O)C(CNc1ccccn1)P(=O)(O)O,200000.0,nM,IC50,,Entamoeba histolytica,organism-based format
CHEMBL299491,CCCCC(O)(P(=O)(O)O)P(=O)(O)O,200000.0,nM,IC50,,Entamoeba histolytica,organism-based format
CHEMBL54124,O=P(O)(O)CC(c1ccccn1)P(=O)(O)O,200000.0,nM,IC50,,Entamoeba histolytica,organism-based format
CHEMBL291736,O=P(O)(O)C(Nc1ccccn1)P(=O)(O)O,200000.0,nM,IC50,,Entamoeba histolytica,organism-based format
CHEMBL301244,CN(CCc1ccccc1)CCC(O)(P(=O)(O)O)P(=O)(O)O,143000.0,nM,IC50,,Entamoeba histolytica,organism-based format
CHEMBL55812,CN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O,200000.0,nM,IC50,,Entamoeba histolytica,organism-based format
CHEMBL54926,O=P(O)(O)C(NC1CCC1)P(=O)(O)O,200000.0,nM,IC50,,Entamoeba histolytica,organism-based format
CHEMBL56078,O=P(O)(O)C(Nc1ccc(Cl)nc1)P(=O)(O)O,21700.0,nM,IC50,4.66,Entamoeba histolytica,organism-based format
CHEMBL55027,O=P(O)(O)C(Nc1cc(Br)cc(Br)n1)P(=O)(O)O,28500.0,nM,IC50,4.54,Entamoeba histolytica,organism-based format
CHEMBL55988,CN(CCC(O)(P(=O)(O)O)P(=O)(O)O)C1CCCCC1,53600.0,nM,IC50,4.27,Entamoeba histolytica,organism-based format
CHEMBL54472,O=P(O)(O)C(N1CCCCCC1)P(=O)(O)O,200000.0,nM,IC50,,Entamoeba histolytica,organism-based format
CHEMBL431139,CCn1c2ccccc2c2ccc(NC(P(=O)(O)O)P(=O)(O)O)cc21,200000.0,nM,IC50,,Entamoeba histolytica,organism-based format
CHEMBL301065,O=P(O)(O)C(Nc1cccnc1)P(=O)(O)O,60000.0,nM,IC50,4.22,Entamoeba histolytica,organism-based format
CHEMBL301954,CC(C)N(C(C)C)C(P(=O)(O)O)P(=O)(O)O,194000.0,nM,IC50,,Entamoeba histolytica,organism-based format
CHEMBL301247,O=P(O)(O)C(O)(Cc1c[nH]cn1)P(=O)(O)O,200000.0,nM,IC50,,Entamoeba histolytica,organism-based format
CHEMBL58830,O=P(O)(O)C(NC1CCCC1)P(=O)(O)O,35900.0,nM,IC50,4.45,Entamoeba histolytica,organism-based format
CHEMBL55582,O=P(O)(O)C(Nc1c(F)c(F)c(F)c(F)c1F)P(=O)(O)O,200000.0,nM,IC50,,Entamoeba histolytica,organism-based format
CHEMBL293522,O=P(O)(O)C(O)(CCc1cccnc1)P(=O)(O)O,200000.0,nM,IC50,,Entamoeba histolytica,organism-based format
CHEMBL56253,O=P(O)(O)C(NC1CCCCC1)P(=O)(O)O,16000.0,nM,IC50,4.80,Entamoeba histolytica,organism-based format
CHEMBL53950,O=P(O)(O)C(NC1CCCCCC1)P(=O)(O)O,200000.0,nM,IC50,,Entamoeba histolytica,organism-based format
CHEMBL301471,CCOP(=O)(OCC)C(Nc1ncccc1C)P(=O)(OCC)OCC,200000.0,nM,IC50,,Entamoeba histolytica,organism-based format
CHEMBL56556,O=P(O)(O)C(O)(Cc1ccccc1)P(=O)(O)O,200000.0,nM,IC50,,Entamoeba histolytica,organism-based format
CHEMBL55214,NCCCCCC(O)(P(=O)(O)O)P(=O)(O)O,200000.0,nM,IC50,,Entamoeba histolytica,organism-based format
CHEMBL56011,CCC(C)CNC(P(=O)(O)O)P(=O)(O)O,135000.0,nM,IC50,,Entamoeba histolytica,organism-based format
CHEMBL55810,CCCCCCCCCCCCCC(O)(P(=O)(O)O)P(=O)(O)O,74000.0,nM,IC50,4.13,Entamoeba histolytica,organism-based format
CHEMBL55222,O=P(O)(O)C(O)(C1CCC1)P(=O)(O)O,200000.0,nM,IC50,,Entamoeba histolytica,organism-based format
CHEMBL417419,O=P(O)(O)CC(c1cccnc1)P(=O)(O)O,200000.0,nM,IC50,,Entamoeba histolytica,organism-based format
CHEMBL293479,O=P(O)(O)C(Nc1ccc(-c2ccccc2)cc1)P(=O)(O)O,8760.0,nM,IC50,5.06,Entamoeba histolytica,organism-based format
CHEMBL300755,CC(C)(C)c1cc(NC(P(=O)(O)O)P(=O)(O)O)cc(C(C)(C)C)c1,19200.0,nM,IC50,4.72,Entamoeba histolytica,organism-based format
CHEMBL298852,CCCCCCCCCCC(O)(P(=O)(O)O)P(=O)(O)O,11000.0,nM,IC50,4.96,Entamoeba histolytica,organism-based format
CHEMBL55464,O=P(O)(O)C(O)(CCNCCCCc1ccccc1)P(=O)(O)O,20500.0,nM,IC50,4.69,Entamoeba histolytica,organism-based format
