molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label
CHEMBL1236677,O=C(N[C@@H](Cn1ccnc1)c1ccc(Cl)cc1Cl)c1ccc(-c2nnc(-c3ccccc3)o2)cc1,250.0,nM,IC50,6.60,Cytochrome P450 51,single protein format
CHEMBL4764357,O=C(NC(Cn1ccnc1)C(=O)NCc1ccncc1)c1ccc2ccccc2c1,1153.0,nM,IC50,5.94,Cytochrome P450 51,single protein format
CHEMBL4757634,CC(NC(=O)c1cccc2ccccc12)C(=O)NC(Cn1ccnc1)C(=O)c1ccccc1,537.0,nM,IC50,6.27,Cytochrome P450 51,single protein format
CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,116.0,nM,IC50,6.94,Cytochrome P450 51,single protein format
CHEMBL5088292,O=C(/C=C/c1cccc2ccccc12)NC(Cn1cncn1)c1ccccc1,209.0,nM,IC50,6.68,Cytochrome P450 51,single protein format
CHEMBL5094280,O=C(/C=C/c1ccc2ccccc2c1)NC(Cn1cncn1)C(=O)c1ccccc1,323.0,nM,IC50,6.49,Cytochrome P450 51,single protein format
CHEMBL5196919,CC(C)(C)c1ccc(-c2nnc(Nc3ccc(Cl)cc3)o2)cc1,0.9,ug.mL-1,IC50,,Cytochrome P450 51,single protein format
CHEMBL5197095,CC(C)OC(=O)[C@@H](Cn1cncn1)NC(=O)[C@@H](C)c1cccc(C(=O)c2ccccc2)c1,200.0,nM,IC50,6.70,Cytochrome P450 51,single protein format
CHEMBL5195879,CC(C)NC(=O)[C@@H](Cn1ccnc1)NC(=O)[C@@H](C)c1cccc(C(=O)c2ccccc2)c1,150.0,nM,IC50,6.82,Cytochrome P450 51,single protein format
CHEMBL5187700,COc1ccc2cc([C@H](C)C(=O)NC(Cn3cncn3)C(=O)c3ccccc3)ccc2c1,80.0,nM,IC50,7.10,Cytochrome P450 51,single protein format
CHEMBL5180750,O=C(N[C@H](Cc1ccccc1)Cn1cncn1)c1ccc2c(c1)OCCO2,356.0,nM,IC50,6.45,Cytochrome P450 51,single protein format
CHEMBL5206822,CC(C)[C@H](NC(=O)c1cccc2c1OCCO2)C(=O)N[C@@H](Cn1cncn1)c1ccccc1,220.0,nM,IC50,6.66,Cytochrome P450 51,single protein format
CHEMBL5220891,C[C@H](C(=O)OC(Cn1ccnc1)c1ccc(F)cc1)c1ccc(-c2ccccc2)c(F)c1,350.0,nM,IC50,6.46,Cytochrome P450 51,single protein format
CHEMBL5219013,C[C@H](C(=O)N(C)CC(O)(Cn1ccnc1)c1ccc(Cl)cc1)c1ccc(-c2ccccc2)c(F)c1,190.0,nM,IC50,6.72,Cytochrome P450 51,single protein format
CHEMBL5219227,C[C@H](C(=O)N(C)CC(O)(Cn1ccnc1)c1ccc(Cl)cc1Cl)c1cccc(C(=O)c2ccccc2)c1,160.0,nM,IC50,6.80,Cytochrome P450 51,single protein format
CHEMBL123984,COc1cccc(Sc2[nH]c3nc(N)nc(N)c3c2C)c1,213.0,nM,IC50,6.67,Dihydrofolate reductase,cell-based format
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,92.0,nM,IC50,7.04,Dihydrofolate reductase,cell-based format
CHEMBL7492,COc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1,41.0,nM,IC50,7.39,Dihydrofolate reductase,cell-based format
CHEMBL4227977,COc1cccc(Sc2c(C)c3c(N)nc(N)nc3n2C)c1,160.0,nM,IC50,6.80,Dihydrofolate reductase,cell-based format
CHEMBL4227124,CCn1c(Sc2cccc(OC)c2)c(C)c2c(N)nc(N)nc21,35.0,nM,IC50,7.46,Dihydrofolate reductase,cell-based format
CHEMBL4228228,CCCn1c(Sc2cccc(OC)c2)c(C)c2c(N)nc(N)nc21,84.0,nM,IC50,7.08,Dihydrofolate reductase,cell-based format
CHEMBL4227384,COc1cccc(Sc2c(C)c3c(N)nc(N)nc3n2C(C)C)c1,74.0,nM,IC50,7.13,Dihydrofolate reductase,cell-based format
CHEMBL4228488,CCCCn1c(Sc2cccc(OC)c2)c(C)c2c(N)nc(N)nc21,73.0,nM,IC50,7.14,Dihydrofolate reductase,cell-based format
CHEMBL331314,COc1ccccc1Sc1[nH]c2nc(N)nc(N)c2c1C,177.0,nM,IC50,6.75,Dihydrofolate reductase,cell-based format
CHEMBL123892,COc1ccc(Sc2[nH]c3nc(N)nc(N)c3c2C)cc1,252.0,nM,IC50,6.60,Dihydrofolate reductase,cell-based format
CHEMBL227065,Cc1c(Sc2ccc3ccccc3c2)[nH]c2nc(N)nc(N)c12,101.0,nM,IC50,7.00,Dihydrofolate reductase,cell-based format
CHEMBL122998,Cc1c(Sc2cccc3ccccc23)[nH]c2nc(N)nc(N)c12,167.0,nM,IC50,6.78,Dihydrofolate reductase,cell-based format
CHEMBL4226849,Cc1c(Sc2ccc(F)c(F)c2)[nH]c2nc(N)nc(N)c12,240.0,nM,IC50,6.62,Dihydrofolate reductase,cell-based format
CHEMBL4226262,Cc1c(Sc2ccc(OC(F)(F)F)cc2)[nH]c2nc(N)nc(N)c12,81.0,nM,IC50,7.09,Dihydrofolate reductase,cell-based format
CHEMBL4227112,COc1ccccc1Sc1c(C)c2c(N)nc(N)nc2n1C,210.0,nM,IC50,6.68,Dihydrofolate reductase,cell-based format
CHEMBL4226465,COc1ccc(Sc2c(C)c3c(N)nc(N)nc3n2C)cc1,219.0,nM,IC50,6.66,Dihydrofolate reductase,cell-based format
