molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label
CHEMBL221190,COc1cc2c(O)c3c(c(-c4ccc5c(c4)OCO5)c2cc1OC)C(=O)OC3,14400.0,nM,IC50,4.84,Leishmania,organism-based format
CHEMBL2172401,O=c1cc(-c2ccc(OCCOCCN(CCOCCOc3ccc(-c4cc(=O)c5ccccc5o4)cc3)Cc3ccncc3)cc2)oc2ccccc12,130.0,nM,IC50,6.89,Leishmania,organism-based format
CHEMBL4470963,C=C[C@]1(C)C[C@H](OC(=O)[C@@H](C)CO)[C@@H]2[C@H](OC(=O)[C@H]2CN2CCC[C@H]2C(=O)O)[C@H]1C(=C)CO,50000.0,nM,IC50,,Leishmania,organism-based format
CHEMBL4540001,C=C[C@]1(C)C[C@H](OC(=O)C(=C)CO)[C@@H]2[C@H](OC(=O)[C@H]2CN2CCC[C@H]2C(=O)O)[C@H]1C(=C)CO,50000.0,nM,IC50,,Leishmania,organism-based format
CHEMBL4460139,C=C[C@]1(C)C[C@H](OC(=O)/C(=C/C)CO)[C@@H]2[C@H](OC(=O)[C@H]2CN2CCC[C@H]2C(=O)O)[C@H]1C(=C)CO,50000.0,nM,IC50,,Leishmania,organism-based format
CHEMBL4464806,C=C(CO)C(=O)O[C@H]1C/C(C)=C/CC/C(CO)=C/[C@H]2OC(=O)[C@@H](CN3CCC[C@H]3C(=O)O)[C@H]12,50000.0,nM,IC50,,Leishmania,organism-based format
CHEMBL4590166,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1[C@H](O)[C@@H](O)[C@H](Oc2cc(O)c3c(=O)cc(-c4ccc(O)c(O)c4)oc3c2)O[C@@H]1CO,50000.0,nM,IC50,,Leishmania,organism-based format
CHEMBL487017,O=c1cc(-c2ccc(O)cc2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12,50000.0,nM,IC50,,Leishmania,organism-based format
CHEMBL4550704,C[C@@H]1O[C@@H](Oc2cc(O)c3c(=O)cc(-c4ccc(O)cc4)oc3c2)[C@H](O)[C@H](O)[C@H]1O,50000.0,nM,IC50,,Leishmania,organism-based format
CHEMBL464868,COC(=O)[C@H]1O[C@@H](Oc2cc(O)c3c(=O)cc(-c4ccc(O)cc4)oc3c2)[C@H](O)[C@@H](O)[C@@H]1O,50000.0,nM,IC50,,Leishmania,organism-based format
CHEMBL454778,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc4c3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,50000.0,nM,IC50,,Leishmania,organism-based format
CHEMBL487018,COc1ccc(-c2cc(=O)c3c(O)cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc1,50000.0,nM,IC50,,Leishmania,organism-based format
CHEMBL4452110,COC(=O)[C@H]1O[C@@H](Oc2cc(O)c3c(=O)cc(-c4ccc(OC)cc4)oc3c2)[C@H](O)[C@@H](O)[C@@H]1O,50000.0,nM,IC50,,Leishmania,organism-based format
CHEMBL509502,COc1ccc(-c2cc(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc1,50000.0,nM,IC50,,Leishmania,organism-based format
CHEMBL250450,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,50000.0,nM,IC50,,Leishmania,organism-based format
CHEMBL388452,COc1ccc(C[C@H]2COC(=O)[C@@H]2Cc2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(OC)c2)cc1OC,50000.0,nM,IC50,,Leishmania,organism-based format
CHEMBL4870124,CCn1nc2cc(N/C(C)=C3/C(=O)C=C(C)OC3=O)ccc2c1Cl,2480.0,nM,IC50,5.61,Leishmania,organism-based format
CHEMBL164580,C[N+]1(CCOP(=O)([O-])OCCOC2CCCCC2)CCOCC1,100000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL166314,C[N+](C)(C)CCOP(=O)([O-])OCCCCCC12CC3CC(CC(C3)C1)C2,100000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL165097,C[N+](C)(C)CCOP(=O)([O-])OCCCCC=C1CCCCC1,100000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL166092,C[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCC=C1C2CC3CC(C2)CC1C3,6750.0,nM,IC50,5.17,Leishmania infantum,organism-based format
CHEMBL349670,C[N+](C)(C)CCOP(=O)([O-])OCCOc1ccc2ccccc2c1,100000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL166069,C[N+]1(CCOP(=O)([O-])Oc2ccc(C34CC5CC(CC(C5)C3)C4)cc2)CCOCC1,100000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL350978,CCCCCCCCCCCCCCC1CCC(OCCOP(=O)([O-])OCC[N+](C)(C)C)CC1,23300.0,nM,IC50,4.63,Leishmania infantum,organism-based format
CHEMBL350506,C[N+]1(CCOP(=O)([O-])OCCOC2CCCCC2)CCCCC1,100000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL166182,CCCCCCCCCCCCCCCC=C1CCC(OCCOP(=O)([O-])OCC[N+]2(C)CCOCC2)CC1,3700.0,nM,IC50,5.43,Leishmania infantum,organism-based format
CHEMBL351276,C[N+]1(CCOP(=O)([O-])OCCCCC=C2C3CC4CC(C3)CC2C4)CCOCC1,100000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL166026,C[N+]1(CCOP(=O)([O-])OCCCCC=C2C3CC4CC(C3)CC2C4)CCCCC1,100000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL164726,C[N+]1(CCOP(=O)([O-])OCCOc2ccc3ccccc3c2)CCOCC1,100000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL165668,C[N+]1(CCOP(=O)([O-])OCCCCC=C2CCCCC2)CCCCC1,100000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL165632,CCCCCCCCCCCCCCCC=C1CCC(OCCOP(=O)([O-])OCC[N+](C)(C)C)CC1,21190.0,nM,IC50,4.67,Leishmania infantum,organism-based format
CHEMBL164620,C[N+]1(CCOP(=O)([O-])OCCCCCCCCCCC=C2C3CC4CC(C3)CC2C4)CCCCC1,22580.0,nM,IC50,4.65,Leishmania infantum,organism-based format
