molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label
CHEMBL255685,Oc1cccc2c1[nH]c1c(C3=C[C@@]4(O)CC/C=C\CCCCN5CC[C@@H]3[C@]3(C[C@@H]6/C=C\CCCCN6[C@H]34)C5)nccc12,0.0061,ug.mL-1,IC50,,Plasmodium,organism-based format
CHEMBL76383,,73500.0,nM,IC50,4.13,Plasmodium falciparum,organism-based format
CHEMBL77052,C[C@H]1[C@@H](OCCC2ON2C(=O)c2ccccc2O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,4.25,nM,IC50,8.37,Plasmodium falciparum,organism-based format
CHEMBL307145,Oc1cccc(O)c1O,5660.0,nM,IC50,5.25,Plasmodium falciparum,organism-based format
CHEMBL16300,O=C(NO)c1ccccc1,17600.0,nM,IC50,4.75,Plasmodium falciparum,organism-based format
CHEMBL307153,C[C@H]1[C@@H](OCCCOc2coc(CO)cc2=O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,9.55,nM,IC50,8.02,Plasmodium falciparum,organism-based format
CHEMBL339049,CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)cc(-c2ccc(Cl)cc2)c1O,18.0,nM,IC50,7.75,Plasmodium falciparum,organism-based format
CHEMBL316098,CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,1.47,nM,IC50,8.83,Plasmodium falciparum,organism-based format
CHEMBL93286,CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)cc(C2CCCCC2)c1O,6.8,nM,IC50,8.17,Plasmodium falciparum,organism-based format
CHEMBL305899,C[C@H]1[C@@H](OCCCOc2c(O)cccc2O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,7.67,nM,IC50,8.12,Plasmodium falciparum,organism-based format
CHEMBL337981,CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)cc(-c2ccc(Cl)cc2)c1F,58.0,nM,IC50,7.24,Plasmodium falciparum,organism-based format
CHEMBL252518,C[C@H]1[C@@H](O)O[C@@H]2O[C@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,1.1,nM,IC50,8.96,Plasmodium falciparum,organism-based format
CHEMBL306763,C[C@H]1[C@@H](OCCCBr)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,3.68,nM,IC50,8.43,Plasmodium falciparum,organism-based format
CHEMBL327539,CCc1cc(Nc2ccnc3cc(Cl)ccc23)cc(CNC(C)(C)C)c1O,2.97,nM,IC50,8.53,Plasmodium falciparum,organism-based format
CHEMBL287556,O=c1cc(CO)occ1O,1580000.0,nM,IC50,,Plasmodium falciparum,organism-based format
CHEMBL77491,C[C@H]1[C@@H](OCCCONC(=O)c2ccccc2O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,52.45,nM,IC50,7.28,Plasmodium falciparum,organism-based format
CHEMBL92652,Cc1cc(Nc2ccnc3cc(Cl)ccc23)cc(CNC(C)(C)C)c1O,2.99,nM,IC50,8.52,Plasmodium falciparum,organism-based format
CHEMBL17001,COC(=O)/C=C/c1ccc(O)c(O)c1,46500.0,nM,IC50,4.33,Plasmodium falciparum,organism-based format
CHEMBL567597,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@]32OO4,5.82,nM,IC50,8.23,Plasmodium falciparum,organism-based format
CHEMBL75471,COC(=O)/C=C/c1ccc(OCCCO[C@H]2O[C@@H]3O[C@@]4(C)CC[C@H]5[C@H](C)CC[C@@H]([C@H]2C)[C@@]35OO4)c(O)c1,4.78,nM,IC50,8.32,Plasmodium falciparum,organism-based format
CHEMBL96500,CCCc1cc(Nc2ccnc3cc(Cl)ccc23)cc(CNC(C)(C)C)c1O,0.98,nM,IC50,9.01,Plasmodium falciparum,organism-based format
CHEMBL307138,C[C@H]1[C@@H](OCCCONC(=O)c2ccccc2)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,23.64,nM,IC50,7.63,Plasmodium falciparum,organism-based format
CHEMBL76,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,250.0,nM,IC50,6.60,Plasmodium falciparum,organism-based format
CHEMBL33458,CCOc1ccc(C(=O)/C=C/c2ccccc2)cc1,43000.0,nM,IC50,4.37,Plasmodium falciparum,organism-based format
CHEMBL276473,O=C(/C=C/c1ccccc1)c1ccc(O)cc1,29600.0,nM,IC50,4.53,Plasmodium falciparum,organism-based format
CHEMBL309339,O=C(NO)c1ccccc1O,107000.0,nM,IC50,,Plasmodium falciparum,organism-based format
CHEMBL77931,C[C@H]1[C@@H](OCCCOc2cccc(O)c2O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,12.7,nM,IC50,7.90,Plasmodium falciparum,organism-based format
CHEMBL145,O=C(O)/C=C/c1ccc(O)c(O)c1,122000.0,nM,IC50,,Plasmodium falciparum,organism-based format
CHEMBL74084,CCN(CC)C(=S)SCCCO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3,7.65,nM,IC50,8.12,Plasmodium falciparum,organism-based format
CHEMBL328154,CC(C)c1cc(Nc2ccnc3cc(Cl)ccc23)cc(CNC(C)(C)C)c1O,1.24,nM,IC50,8.91,Plasmodium falciparum,organism-based format
CHEMBL330342,CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)cc(C(C)(C)C)c1O,8.35,nM,IC50,8.08,Plasmodium falciparum,organism-based format
CHEMBL33298,COc1ccc(C(=O)/C=C/c2ccccc2)c(OC)c1OC,15800.0,nM,IC50,4.80,Plasmodium falciparum,organism-based format
CHEMBL76817,C[C@H]1[C@@H](OCCC2Oc3cccc(O)c3O2)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,6.64,nM,IC50,8.18,Plasmodium falciparum,organism-based format
CHEMBL73090,COc1ccc(C(=O)/C=C/c2ccccc2)c(OC)c1,55500.0,nM,IC50,4.26,Plasmodium falciparum,organism-based format
CHEMBL1630,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O.Cl,2.47,nM,IC50,8.61,Plasmodium falciparum,organism-based format
CHEMBL328331,CCC(C)c1cc(Nc2ccnc3cc(Cl)ccc23)cc(CNC(C)(C)C)c1O,1.97,nM,IC50,8.71,Plasmodium falciparum,organism-based format
