molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label
CHEMBL10835,O=C(Nc1ccc(Cl)c(Cl)c1)Nc1ccc(Cl)c(Cl)c1,4400.0,nM,IC50,5.36,Schistosoma japonicum,organism-based format
CHEMBL3769867,O=S(=O)(Nc1ccc(Cl)c(Cl)c1)Nc1ccc(Cl)c(Cl)c1,22600.0,nM,IC50,4.65,Schistosoma japonicum,organism-based format
CHEMBL3770521,Clc1ccc(Nc2nc(Nc3ccc(Cl)c(Cl)c3)nc(N3CCOCC3)n2)cc1Cl,19000.0,nM,IC50,4.72,Schistosoma japonicum,organism-based format
CHEMBL3769525,O=C(Nc1ccc(F)c(F)c1)Nc1ccc(Cl)c(Cl)c1,4700.0,nM,IC50,5.33,Schistosoma japonicum,organism-based format
CHEMBL3770729,O=C(Nc1ccc(Cl)c(Cl)c1)Nc1ccc(Cl)c(C(F)(F)F)c1,2500.0,nM,IC50,5.60,Schistosoma japonicum,organism-based format
CHEMBL3770083,N#Cc1cc(NC(=O)Nc2ccc(Cl)c(Cl)c2)ccc1F,4300.0,nM,IC50,5.37,Schistosoma japonicum,organism-based format
CHEMBL3771028,O=C(Nc1ccc(Cl)c(Cl)c1)Nc1ccc(N2CCOCC2)c(C(F)(F)F)c1,9600.0,nM,IC50,5.02,Schistosoma japonicum,organism-based format
CHEMBL510619,O=C(Nc1cccc(Cl)c1)Nc1ccc(Cl)c(Cl)c1,10100.0,nM,IC50,5.00,Schistosoma japonicum,organism-based format
CHEMBL1688054,Cc1ccc(NC(=O)Nc2ccc(Cl)c(Cl)c2)cc1Cl,12700.0,nM,IC50,4.90,Schistosoma japonicum,organism-based format
CHEMBL3770583,O=C(Nc1ccc(Cl)c(Cl)c1)Nc1cccc2ccccc12,12800.0,nM,IC50,4.89,Schistosoma japonicum,organism-based format
CHEMBL104176,O=C(Nc1ccc(Cl)c(Cl)c1)Nc1cccc2cnccc12,22600.0,nM,IC50,4.65,Schistosoma japonicum,organism-based format
CHEMBL3770611,O=C(Nc1ccc(Cl)c(Cl)c1)Nc1cnc(Cl)c(Cl)c1,11300.0,nM,IC50,4.95,Schistosoma japonicum,organism-based format
CHEMBL3770138,O=C(Nc1ccc(F)c(F)c1)Nc1ccc(F)c(F)c1,7000.0,nM,IC50,5.16,Schistosoma japonicum,organism-based format
CHEMBL530543,O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)Nc1ccc(Cl)c(C(F)(F)F)c1,2800.0,nM,IC50,5.55,Schistosoma japonicum,organism-based format
CHEMBL3770288,O=C(Nc1ccc(N2CCOCC2)c(C(F)(F)F)c1)Nc1ccc(N2CCOCC2)c(C(F)(F)F)c1,22600.0,nM,IC50,4.65,Schistosoma japonicum,organism-based format
CHEMBL3770629,O=C(Nc1ccccc1S(=O)(=O)N1CCOCC1)Nc1ccccc1S(=O)(=O)N1CCOCC1,22600.0,nM,IC50,4.65,Schistosoma japonicum,organism-based format
CHEMBL4289600,O=[N+]([O-])c1ccc(Nc2ccc(NC(=S)Oc3ccc(O)cc3)cc2)cc1,8.05,ug.mL-1,IC50,,Schistosoma japonicum,organism-based format
CHEMBL4277356,CC(=O)Nc1ccc(OC(=S)Nc2ccc(Sc3ccc([N+](=O)[O-])cc3)cc2)cc1,16.66,ug.mL-1,IC50,,Schistosoma japonicum,organism-based format
CHEMBL4284378,O=[N+]([O-])c1ccc(Sc2ccc(NC(=S)Oc3ccc(O)cc3)cc2)cc1,30.54,ug.mL-1,IC50,,Schistosoma japonicum,organism-based format
CHEMBL4293974,CC(=O)Nc1ccc(OC(=S)Nc2ccc(Oc3ccc([N+](=O)[O-])cc3)cc2)cc1,14.11,ug.mL-1,IC50,,Schistosoma japonicum,organism-based format
CHEMBL4294586,O=[N+]([O-])c1ccc(Oc2ccc(NC(=S)Oc3ccc(O)cc3)cc2)cc1,8.02,ug.mL-1,IC50,,Schistosoma japonicum,organism-based format
CHEMBL4286680,CC(=O)Nc1ccc(OC(=S)Nc2ccc(Nc3ccc([N+](=O)[O-])cc3)cc2)cc1,15.22,ug.mL-1,IC50,,Schistosoma japonicum,organism-based format
CHEMBL4287648,Oc1ccc(OC(=S)Nc2ccc(Nc3ccc(C(F)(F)F)cc3)cc2)cc1,5.43,ug.mL-1,IC50,,Schistosoma japonicum,organism-based format
CHEMBL4278368,CC(=O)Nc1ccc(OC(=S)Nc2ccc(Nc3ccc(C(F)(F)F)cc3)cc2)cc1,11.2,ug.mL-1,IC50,,Schistosoma japonicum,organism-based format
CHEMBL4286277,Oc1ccc(OC(=S)Nc2ccc(Oc3ccc(C(F)(F)F)cc3)cc2)cc1,5.21,ug.mL-1,IC50,,Schistosoma japonicum,organism-based format
CHEMBL4276866,CC(=O)Nc1ccc(OC(=S)Nc2ccc(Oc3ccc(C(F)(F)F)cc3)cc2)cc1,10.37,ug.mL-1,IC50,,Schistosoma japonicum,organism-based format
CHEMBL4287508,Oc1ccc(OC(=S)Nc2ccc(Sc3ccc(C(F)(F)F)cc3)cc2)cc1,16.56,ug.mL-1,IC50,,Schistosoma japonicum,organism-based format
CHEMBL4282088,CC(=O)Nc1ccc(OC(=S)Nc2ccc(Sc3ccc(C(F)(F)F)cc3)cc2)cc1,19.01,ug.mL-1,IC50,,Schistosoma japonicum,organism-based format
CHEMBL4284139,Oc1ccc(OC(=S)Nc2ccc(Nc3ccc(C(Cl)(Cl)Cl)cc3)cc2)cc1,7.35,ug.mL-1,IC50,,Schistosoma japonicum,organism-based format
CHEMBL4283752,CC(=O)Nc1ccc(OC(=S)Nc2ccc(Nc3ccc(C(Cl)(Cl)Cl)cc3)cc2)cc1,11.6,ug.mL-1,IC50,,Schistosoma japonicum,organism-based format
CHEMBL4294326,Oc1ccc(OC(=S)Nc2ccc(Oc3ccc(C(Cl)(Cl)Cl)cc3)cc2)cc1,7.98,ug.mL-1,IC50,,Schistosoma japonicum,organism-based format
