molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label
CHEMBL23705,COc1ccc(N(C)Cc2cnc3nc(N)nc(N)c3c2C)c(OC)c1,1730.0,nM,IC50,5.76,Toxoplasma gondii,organism-based format
CHEMBL50514,COc1cc(N(C)Cc2cnc3nc(N)nc(N)c3c2C)cc(OC)c1OC,4700.0,nM,IC50,5.33,Toxoplasma gondii,organism-based format
CHEMBL279679,CCOc1ccc(OCC)c(NCc2cnc3nc(N)nc(N)c3c2C)c1,320.0,nM,IC50,6.50,Toxoplasma gondii,organism-based format
CHEMBL23021,COc1ccc(OC)c(NCc2cnc3nc(N)nc(N)c3c2C)c1,1500.0,nM,IC50,5.82,Toxoplasma gondii,organism-based format
CHEMBL23867,Cc1c(CNc2cccc3ccccc23)cnc2nc(N)nc(N)c12,100.0,nM,IC50,7.00,Toxoplasma gondii,organism-based format
CHEMBL53903,COc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)c2ccccc12,40.0,nM,IC50,7.40,Toxoplasma gondii,organism-based format
CHEMBL281803,COc1ccc(OC)c(N(C)Cc2cnc3nc(N)nc(N)c3c2C)c1,1050.0,nM,IC50,5.98,Toxoplasma gondii,organism-based format
CHEMBL23569,COc1cc(NCc2cnc3nc(N)nc(N)c3c2C)cc(OC)c1,600.0,nM,IC50,6.22,Toxoplasma gondii,organism-based format
CHEMBL22677,Cc1c(CSc2ccc(Cl)cc2)cnc2nc(N)nc(N)c12,300.0,nM,IC50,6.52,Toxoplasma gondii,organism-based format
CHEMBL23380,COc1cccc(SCc2cnc3nc(N)nc(N)c3n2)c1,5000.0,nM,IC50,5.30,Toxoplasma gondii,organism-based format
CHEMBL284544,COc1ccc(OC)c(CCc2cnc3nc(N)nc(N)c3c2C)c1,100.0,nM,IC50,7.00,Toxoplasma gondii,organism-based format
CHEMBL279680,COc1ccc(N(C)Cc2cnc3nc(N)nc(N)c3c2C)cc1OC,150.0,nM,IC50,6.82,Toxoplasma gondii,organism-based format
CHEMBL22924,Nc1nc(N)c2cc(CNc3cccc4ccccc34)cnc2n1,800.0,nM,IC50,6.10,Toxoplasma gondii,organism-based format
CHEMBL22543,COc1ccc(OC)c(N(C)Cc2cnc3nc(N)nc(N)c3n2)c1,1600.0,nM,IC50,5.80,Toxoplasma gondii,organism-based format
CHEMBL23919,COc1cc(NCc2cnc3nc(N)nc(N)c3n2)cc(OC)c1,1000.0,nM,IC50,6.00,Toxoplasma gondii,organism-based format
CHEMBL22434,Nc1nc(N)c2nc(CSc3cccc4ccccc34)cnc2n1,3000.0,nM,IC50,5.52,Toxoplasma gondii,organism-based format
CHEMBL23092,Nc1nc(N)c2cc(CNc3ccc(Cl)cc3)ccc2n1,10.0,nM,IC50,8.00,Toxoplasma gondii,organism-based format
CHEMBL119,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,20.0,nM,IC50,7.70,Toxoplasma gondii,organism-based format
CHEMBL23454,COc1ccc(OC)c(NCc2ccc3nc(N)nc(N)c3c2)c1,600.0,nM,IC50,6.22,Toxoplasma gondii,organism-based format
CHEMBL36,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,400.0,nM,IC50,6.40,Toxoplasma gondii,organism-based format
CHEMBL23272,Cc1cccc(SCc2cnc3nc(N)nc(N)c3c2C)c1,200.0,nM,IC50,6.70,Toxoplasma gondii,organism-based format
CHEMBL23382,COc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)c(C)c1,600.0,nM,IC50,6.22,Toxoplasma gondii,organism-based format
CHEMBL279983,COc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)c(OC)c1,200.0,nM,IC50,6.70,Toxoplasma gondii,organism-based format
CHEMBL23425,Cc1ccc(SCc2cnc3nc(N)nc(N)c3n2)cc1,5000.0,nM,IC50,5.30,Toxoplasma gondii,organism-based format
CHEMBL24344,Cc1ccc(SCc2cnc3nc(N)nc(N)c3c2C)cc1,300.0,nM,IC50,6.52,Toxoplasma gondii,organism-based format
CHEMBL23416,Cc1c(CNc2ccc(Cl)cc2)cnc2nc(N)nc(N)c12,150.0,nM,IC50,6.82,Toxoplasma gondii,organism-based format
CHEMBL276954,Nc1nc(N)c2nc(CCc3cccc4ccccc34)cnc2n1,1000.0,nM,IC50,6.00,Toxoplasma gondii,organism-based format
CHEMBL23402,COc1ccc(OC)c(NCc2cnc3nc(N)nc(N)c3n2)c1,5000.0,nM,IC50,5.30,Toxoplasma gondii,organism-based format
CHEMBL23495,COc1ccc(C(F)(F)F)cc1NCc1cnc2nc(N)nc(N)c2n1,2000.0,nM,IC50,5.70,Toxoplasma gondii,organism-based format
CHEMBL286820,Cc1cccc(SCc2cnc3nc(N)nc(N)c3n2)c1,4000.0,nM,IC50,5.40,Toxoplasma gondii,organism-based format
CHEMBL291239,Cc1c(CSc2ccccc2)cnc2nc(N)nc(N)c12,200.0,nM,IC50,6.70,Toxoplasma gondii,organism-based format
CHEMBL282948,Cc1c(CNc2cccc3c2CCCC3)cnc2nc(N)nc(N)c12,60.0,nM,IC50,7.22,Toxoplasma gondii,organism-based format
CHEMBL23146,COc1ccc(SCc2cnc3nc(N)nc(N)c3n2)cc1,3000.0,nM,IC50,5.52,Toxoplasma gondii,organism-based format
CHEMBL23076,COc1ccc(C(F)(F)F)cc1N(C)Cc1cnc2nc(N)nc(N)c2c1C,200.0,nM,IC50,6.70,Toxoplasma gondii,organism-based format
CHEMBL26006,Nc1nc(N)c2nc(CNc3cccc4ccccc34)cnc2n1,250.0,nM,IC50,6.60,Toxoplasma gondii,organism-based format
CHEMBL23459,COc1cc(NCc2cnc3nc(N)nc(N)c3n2)cc(OC)c1OC,11000.0,nM,IC50,4.96,Toxoplasma gondii,organism-based format
CHEMBL281648,COc1ccc(C(F)(F)F)cc1NCc1cnc2nc(N)nc(N)c2c1C,20.0,nM,IC50,7.70,Toxoplasma gondii,organism-based format
CHEMBL281131,COc1cccc(C)c1NCc1cnc2nc(N)nc(N)c2c1C,300.0,nM,IC50,6.52,Toxoplasma gondii,organism-based format
CHEMBL23220,Cc1c(CN(C)c2cccc3c2CCCC3)cnc2nc(N)nc(N)c12,20.0,nM,IC50,7.70,Toxoplasma gondii,organism-based format
CHEMBL409194,Nc1nc(N)c2nc(CSc3cccc(Cl)c3)cnc2n1,10000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL23466,COc1cc(NCc2cnc3nc(N)nc(N)c3n2)cc(C(F)(F)F)c1,1000.0,nM,IC50,6.00,Toxoplasma gondii,organism-based format
CHEMBL23911,COc1ccc(SCc2cnc3nc(N)nc(N)c3c2C)cc1,300.0,nM,IC50,6.52,Toxoplasma gondii,organism-based format
CHEMBL23244,COc1ccc(SCc2cnc3nc(N)nc(N)c3c2C)cc1OC,5000.0,nM,IC50,5.30,Toxoplasma gondii,organism-based format
CHEMBL22672,Nc1nc(N)c2nc(CNc3ccc(Cl)cc3)cnc2n1,700.0,nM,IC50,6.16,Toxoplasma gondii,organism-based format
CHEMBL23374,Cc1c(CCc2cccc3ccccc23)cnc2nc(N)nc(N)c12,100.0,nM,IC50,7.00,Toxoplasma gondii,organism-based format
CHEMBL287511,COc1ccc(OC)c(CCc2cnc3nc(N)nc(N)c3n2)c1,5000.0,nM,IC50,5.30,Toxoplasma gondii,organism-based format
CHEMBL23211,Nc1nc(N)c2cc(CNc3cccc4ccccc34)ccc2n1,60.0,nM,IC50,7.22,Toxoplasma gondii,organism-based format
CHEMBL23227,Cc1cc(Cl)ccc1NCc1ccc2nc(N)nc(N)c2c1,200.0,nM,IC50,6.70,Toxoplasma gondii,organism-based format
CHEMBL279243,Nc1nc(N)c2nc(CSc3ccccc3)cnc2n1,10000.0,nM,IC50,5.00,Toxoplasma gondii,organism-based format
CHEMBL22623,COc1cc(OC)cc(N(C)Cc2cnc3nc(N)nc(N)c3c2C)c1,10.0,nM,IC50,8.00,Toxoplasma gondii,organism-based format
CHEMBL24007,Cc1c(CSc2cccc(Cl)c2)cnc2nc(N)nc(N)c12,150.0,nM,IC50,6.82,Toxoplasma gondii,organism-based format
CHEMBL23963,COc1cc(NCc2cnc3nc(N)nc(N)c3c2C)cc(C(F)(F)F)c1,200.0,nM,IC50,6.70,Toxoplasma gondii,organism-based format
CHEMBL23383,Cc1ccc(C)c(NCc2cnc3nc(N)nc(N)c3c2C)c1,10.0,nM,IC50,8.00,Toxoplasma gondii,organism-based format
CHEMBL279705,COc1ccc(C)cc1NCc1cnc2nc(N)nc(N)c2c1C,50.0,nM,IC50,7.30,Toxoplasma gondii,organism-based format
CHEMBL283518,COc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)cc1OC,600.0,nM,IC50,6.22,Toxoplasma gondii,organism-based format
CHEMBL23560,COc1ccc(C)c(NCc2cnc3nc(N)nc(N)c3n2)c1,1000.0,nM,IC50,6.00,Toxoplasma gondii,organism-based format
CHEMBL23492,Nc1nc(N)c2cc(CNc3ccc(Cl)cc3)cnc2n1,4000.0,nM,IC50,5.40,Toxoplasma gondii,organism-based format
CHEMBL7492,COc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1,20.0,nM,IC50,7.70,Toxoplasma gondii,organism-based format
CHEMBL23286,COc1ccc(SCc2cnc3nc(N)nc(N)c3n2)cc1OC,5000.0,nM,IC50,5.30,Toxoplasma gondii,organism-based format
CHEMBL23288,COc1cc(NCc2cnc3nc(N)nc(N)c3c2)cc(OC)c1OC,15000.0,nM,IC50,4.82,Toxoplasma gondii,organism-based format
CHEMBL277217,COc1cccc(SCc2cnc3nc(N)nc(N)c3c2C)c1,200.0,nM,IC50,6.70,Toxoplasma gondii,organism-based format
CHEMBL23787,Nc1nc(N)c2nc(CSc3ccc(Cl)cc3)cnc2n1,10000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL23657,COc1cccc(C)c1NCc1cnc2nc(N)nc(N)c2n1,5000.0,nM,IC50,5.30,Toxoplasma gondii,organism-based format
CHEMBL23844,CCOc1ccc(OCC)c(N(C)Cc2cnc3nc(N)nc(N)c3c2C)c1,60.0,nM,IC50,7.22,Toxoplasma gondii,organism-based format
CHEMBL23584,Cc1c(CSc2cccc3ccccc23)cnc2nc(N)nc(N)c12,40.0,nM,IC50,7.40,Toxoplasma gondii,organism-based format
CHEMBL23713,COc1ccc(C)c(NCc2cnc3nc(N)nc(N)c3c2C)c1,30.0,nM,IC50,7.52,Toxoplasma gondii,organism-based format
