molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label
CHEMBL1289878,ON=C[C@H]1O[C@@H](n2cnc3c(NC4CC4)ncnc32)[C@H](O)[C@@H]1O,,,IC50,,Trypanosoma,organism-based format
CHEMBL381146,O[C@@H]1[C@H](O)[C@@H](C=C(Br)Br)O[C@H]1n1cnc2c(NC3CC3)ncnc21,,,IC50,,Trypanosoma,organism-based format
CHEMBL1289769,O[C@@H]1[C@H](O)[C@@H](C=CF)O[C@H]1n1cnc2c(NC3CC3)ncnc21,19.0,ug.mL-1,IC50,,Trypanosoma,organism-based format
CHEMBL1289768,O[C@@H]1[C@H](O)[C@@H](C=CI)O[C@H]1n1cnc2c(NC3CC3)ncnc21,12.0,ug.mL-1,IC50,,Trypanosoma,organism-based format
CHEMBL2111280,Nc1ncnc2c1cnn2[C@@H]1C=C[C@@H](O)[C@H]1O,100000.0,nM,IC50,,Trypanosoma brucei,organism-based format
CHEMBL2111248,C[C@H]1C[C@@H](n2ncc3c(N)ncnc32)[C@H](O)[C@@H]1O,12200.0,nM,IC50,4.91,Trypanosoma brucei,organism-based format
CHEMBL2111283,Nc1ncnc2c1cnn2[C@H]1C[C@@H](O)[C@H](O)[C@@H]1O,53000.0,nM,IC50,4.28,Trypanosoma brucei,organism-based format
CHEMBL346319,Nc1ncnc2c1cnn2[C@@H]1C=C[C@H](O)C1,100000.0,nM,IC50,,Trypanosoma brucei,organism-based format
CHEMBL2111249,Nc1ncnc2c1cnn2[C@H]1C=C[C@H](O)[C@@H]1O,100000.0,nM,IC50,,Trypanosoma brucei,organism-based format
CHEMBL2051757,Nc1ncnc2c1ccn2[C@H]1C[C@@H](O)[C@H](O)[C@@H]1O,850.0,nM,IC50,6.07,Trypanosoma brucei,organism-based format
CHEMBL347186,Nc1ncnc2c1cnn2[C@H]1C=C[C@@H](O)C1,100000.0,nM,IC50,,Trypanosoma brucei,organism-based format
CHEMBL2111282,C[C@@H]1C[C@H](n2ncc3c(N)ncnc32)[C@@H](O)[C@H]1O,100000.0,nM,IC50,,Trypanosoma brucei,organism-based format
CHEMBL2111246,Nc1ncnc2c1cnn2[C@@H]1C[C@H](O)[C@@H](O)[C@H]1O,100000.0,nM,IC50,,Trypanosoma brucei,organism-based format
CHEMBL2111247,Nc1ncnc2c1cnn2[C@@H]1CC[C@@H](O)[C@H]1O,100000.0,nM,IC50,,Trypanosoma brucei,organism-based format
CHEMBL44025,CCC(C)CNCCCNCCCCCCCNCCCNCC(C)CC,31.0,nM,IC50,7.51,Trypanosoma brucei,organism-based format
CHEMBL43390,C1CCCC(CNCCCNCC2CCCC(CNCCCNCC3CCCCCC3)C2)CC1,3250.0,nM,IC50,5.49,Trypanosoma brucei,organism-based format
CHEMBL43494,N[C@H]1C=CC(NCCCNCC2CC2)C1,100000.0,nM,IC50,,Trypanosoma brucei,organism-based format
