molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label,passes_lipinski
CHEMBL1412,C1CNCCN1,83000.0,nM,IC50,4.08,HL-60,cell-based format,True
CHEMBL443605,CCCCCCc1ccc(O)cc1O,560.0,nM,IC50,6.25,Tyrosinase,single protein format,True
CHEMBL528271,CCCCc1ccc2[nH]c(NC(=O)OC)nc2c1,5.66,nM,IC50,8.25,Unchecked,cell-based format,True
CHEMBL1087630,CCCOc1ccc2[nH]c(NC(=O)OC)nc2c1,46.7,nM,IC50,7.33,Unchecked,cell-based format,True
CHEMBL1483,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,37.0,nM,IC50,7.43,Giardia intestinalis,organism-based format,True
CHEMBL2105088,CCOC(=O)Nc1nc2ccccc2[nH]1,37.0,nM,IC50,7.43,Giardia intestinalis,organism-based format,True
CHEMBL685,COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1,54.2,nM,IC50,7.27,Unchecked,cell-based format,True
CHEMBL37161,COC(=O)Nc1nc2cc(Sc3ccccc3)ccc2[nH]1,1.0,nM,IC50,9.0,Unchecked,assay format,True
CHEMBL42442,COC(=O)Nc1nc2cc([S+]([O-])c3ccccc3)ccc2[nH]1,1.0,nM,IC50,9.0,Unchecked,assay format,True
CHEMBL1788401,COC(=O)Nc1nc2ccc(C(=O)C3CC3)cc2[nH]1,154.7,nM,IC50,6.81,Unchecked,assay format,True
CHEMBL167911,COP(=O)(OC)OC=C(Cl)Cl,60.1,nM,IC50,7.22,Acetylcholinesterase,single protein format,True
CHEMBL976,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,77.0,nM,IC50,7.11,Schistosoma mansoni,organism-based format,True
CHEMBL1448,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,0.56,nM,IC50,9.25,Plasmodium falciparum,organism-based format,True
CHEMBL152632,O=C1NCCN1c1ncc([N+](=O)[O-])s1,15880.0,nM,IC50,4.8,Unchecked,assay format,True
CHEMBL304432,O=[N+]([O-])c1ccc(Oc2ccc(N=C=S)cc2)cc1,1065.4,nM,IC50,5.97,Unchecked,assay format,True
CHEMBL33845,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,546.4,nM,IC50,6.26,Unchecked,cell-based format,True
CHEMBL1454,c1ccc([C@H]2CN3CCSC3=N2)cc1,4392.0,nM,IC50,5.36,Unchecked,cell membrane format,True
CHEMBL625,c1ccc2[nH]c(-c3cscn3)nc2c1,472.0,nM,IC50,6.33,Methionine aminopeptidase,assay format,True
