molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label,passes_lipinski
CHEMBL23705,COc1ccc(N(C)Cc2cnc3nc(N)nc(N)c3c2C)c(OC)c1,1730.0,nM,IC50,5.76,Toxoplasma gondii,organism-based format,True
CHEMBL50514,COc1cc(N(C)Cc2cnc3nc(N)nc(N)c3c2C)cc(OC)c1OC,4700.0,nM,IC50,5.33,Toxoplasma gondii,organism-based format,True
CHEMBL279679,CCOc1ccc(OCC)c(NCc2cnc3nc(N)nc(N)c3c2C)c1,320.0,nM,IC50,6.50,Toxoplasma gondii,organism-based format,True
CHEMBL23021,COc1ccc(OC)c(NCc2cnc3nc(N)nc(N)c3c2C)c1,1500.0,nM,IC50,5.82,Toxoplasma gondii,organism-based format,True
CHEMBL23867,Cc1c(CNc2cccc3ccccc23)cnc2nc(N)nc(N)c12,100.0,nM,IC50,7.00,Toxoplasma gondii,organism-based format,True
CHEMBL53903,COc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)c2ccccc12,40.0,nM,IC50,7.40,Toxoplasma gondii,organism-based format,True
CHEMBL281803,COc1ccc(OC)c(N(C)Cc2cnc3nc(N)nc(N)c3c2C)c1,1050.0,nM,IC50,5.98,Toxoplasma gondii,organism-based format,True
CHEMBL23569,COc1cc(NCc2cnc3nc(N)nc(N)c3c2C)cc(OC)c1,600.0,nM,IC50,6.22,Toxoplasma gondii,organism-based format,True
CHEMBL22677,Cc1c(CSc2ccc(Cl)cc2)cnc2nc(N)nc(N)c12,300.0,nM,IC50,6.52,Toxoplasma gondii,organism-based format,True
CHEMBL23380,COc1cccc(SCc2cnc3nc(N)nc(N)c3n2)c1,5000.0,nM,IC50,5.30,Toxoplasma gondii,organism-based format,True
CHEMBL284544,COc1ccc(OC)c(CCc2cnc3nc(N)nc(N)c3c2C)c1,100.0,nM,IC50,7.00,Toxoplasma gondii,organism-based format,True
CHEMBL279680,COc1ccc(N(C)Cc2cnc3nc(N)nc(N)c3c2C)cc1OC,150.0,nM,IC50,6.82,Toxoplasma gondii,organism-based format,True
CHEMBL22924,Nc1nc(N)c2cc(CNc3cccc4ccccc34)cnc2n1,800.0,nM,IC50,6.10,Toxoplasma gondii,organism-based format,True
CHEMBL22543,COc1ccc(OC)c(N(C)Cc2cnc3nc(N)nc(N)c3n2)c1,1600.0,nM,IC50,5.80,Toxoplasma gondii,organism-based format,True
CHEMBL23919,COc1cc(NCc2cnc3nc(N)nc(N)c3n2)cc(OC)c1,1000.0,nM,IC50,6.00,Toxoplasma gondii,organism-based format,True
CHEMBL22434,Nc1nc(N)c2nc(CSc3cccc4ccccc34)cnc2n1,3000.0,nM,IC50,5.52,Toxoplasma gondii,organism-based format,True
CHEMBL23092,Nc1nc(N)c2cc(CNc3ccc(Cl)cc3)ccc2n1,10.0,nM,IC50,8.00,Toxoplasma gondii,organism-based format,True
CHEMBL119,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,20.0,nM,IC50,7.70,Toxoplasma gondii,organism-based format,True
CHEMBL23454,COc1ccc(OC)c(NCc2ccc3nc(N)nc(N)c3c2)c1,600.0,nM,IC50,6.22,Toxoplasma gondii,organism-based format,True
CHEMBL36,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,400.0,nM,IC50,6.40,Toxoplasma gondii,organism-based format,True
CHEMBL23272,Cc1cccc(SCc2cnc3nc(N)nc(N)c3c2C)c1,200.0,nM,IC50,6.70,Toxoplasma gondii,organism-based format,True
CHEMBL23382,COc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)c(C)c1,600.0,nM,IC50,6.22,Toxoplasma gondii,organism-based format,True
CHEMBL279983,COc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)c(OC)c1,200.0,nM,IC50,6.70,Toxoplasma gondii,organism-based format,True
CHEMBL23425,Cc1ccc(SCc2cnc3nc(N)nc(N)c3n2)cc1,5000.0,nM,IC50,5.30,Toxoplasma gondii,organism-based format,True
CHEMBL24344,Cc1ccc(SCc2cnc3nc(N)nc(N)c3c2C)cc1,300.0,nM,IC50,6.52,Toxoplasma gondii,organism-based format,True
CHEMBL23416,Cc1c(CNc2ccc(Cl)cc2)cnc2nc(N)nc(N)c12,150.0,nM,IC50,6.82,Toxoplasma gondii,organism-based format,True
CHEMBL276954,Nc1nc(N)c2nc(CCc3cccc4ccccc34)cnc2n1,1000.0,nM,IC50,6.00,Toxoplasma gondii,organism-based format,True
CHEMBL23402,COc1ccc(OC)c(NCc2cnc3nc(N)nc(N)c3n2)c1,5000.0,nM,IC50,5.30,Toxoplasma gondii,organism-based format,True
CHEMBL23495,COc1ccc(C(F)(F)F)cc1NCc1cnc2nc(N)nc(N)c2n1,2000.0,nM,IC50,5.70,Toxoplasma gondii,organism-based format,True
CHEMBL286820,Cc1cccc(SCc2cnc3nc(N)nc(N)c3n2)c1,4000.0,nM,IC50,5.40,Toxoplasma gondii,organism-based format,True
CHEMBL291239,Cc1c(CSc2ccccc2)cnc2nc(N)nc(N)c12,200.0,nM,IC50,6.70,Toxoplasma gondii,organism-based format,True
CHEMBL282948,Cc1c(CNc2cccc3c2CCCC3)cnc2nc(N)nc(N)c12,60.0,nM,IC50,7.22,Toxoplasma gondii,organism-based format,True
CHEMBL23146,COc1ccc(SCc2cnc3nc(N)nc(N)c3n2)cc1,3000.0,nM,IC50,5.52,Toxoplasma gondii,organism-based format,True
CHEMBL23076,COc1ccc(C(F)(F)F)cc1N(C)Cc1cnc2nc(N)nc(N)c2c1C,200.0,nM,IC50,6.70,Toxoplasma gondii,organism-based format,True
CHEMBL26006,Nc1nc(N)c2nc(CNc3cccc4ccccc34)cnc2n1,250.0,nM,IC50,6.60,Toxoplasma gondii,organism-based format,True
CHEMBL23459,COc1cc(NCc2cnc3nc(N)nc(N)c3n2)cc(OC)c1OC,11000.0,nM,IC50,4.96,Toxoplasma gondii,organism-based format,True
CHEMBL281648,COc1ccc(C(F)(F)F)cc1NCc1cnc2nc(N)nc(N)c2c1C,20.0,nM,IC50,7.70,Toxoplasma gondii,organism-based format,True
CHEMBL281131,COc1cccc(C)c1NCc1cnc2nc(N)nc(N)c2c1C,300.0,nM,IC50,6.52,Toxoplasma gondii,organism-based format,True
CHEMBL23220,Cc1c(CN(C)c2cccc3c2CCCC3)cnc2nc(N)nc(N)c12,20.0,nM,IC50,7.70,Toxoplasma gondii,organism-based format,True
CHEMBL409194,Nc1nc(N)c2nc(CSc3cccc(Cl)c3)cnc2n1,10000.0,nM,IC50,,Toxoplasma gondii,organism-based format,True
CHEMBL23466,COc1cc(NCc2cnc3nc(N)nc(N)c3n2)cc(C(F)(F)F)c1,1000.0,nM,IC50,6.00,Toxoplasma gondii,organism-based format,True
CHEMBL23911,COc1ccc(SCc2cnc3nc(N)nc(N)c3c2C)cc1,300.0,nM,IC50,6.52,Toxoplasma gondii,organism-based format,True
CHEMBL23244,COc1ccc(SCc2cnc3nc(N)nc(N)c3c2C)cc1OC,5000.0,nM,IC50,5.30,Toxoplasma gondii,organism-based format,True
CHEMBL22672,Nc1nc(N)c2nc(CNc3ccc(Cl)cc3)cnc2n1,700.0,nM,IC50,6.16,Toxoplasma gondii,organism-based format,True
CHEMBL23374,Cc1c(CCc2cccc3ccccc23)cnc2nc(N)nc(N)c12,100.0,nM,IC50,7.00,Toxoplasma gondii,organism-based format,True
CHEMBL287511,COc1ccc(OC)c(CCc2cnc3nc(N)nc(N)c3n2)c1,5000.0,nM,IC50,5.30,Toxoplasma gondii,organism-based format,True
CHEMBL23211,Nc1nc(N)c2cc(CNc3cccc4ccccc34)ccc2n1,60.0,nM,IC50,7.22,Toxoplasma gondii,organism-based format,True
CHEMBL23227,Cc1cc(Cl)ccc1NCc1ccc2nc(N)nc(N)c2c1,200.0,nM,IC50,6.70,Toxoplasma gondii,organism-based format,True
CHEMBL279243,Nc1nc(N)c2nc(CSc3ccccc3)cnc2n1,10000.0,nM,IC50,5.00,Toxoplasma gondii,organism-based format,True
CHEMBL22623,COc1cc(OC)cc(N(C)Cc2cnc3nc(N)nc(N)c3c2C)c1,10.0,nM,IC50,8.00,Toxoplasma gondii,organism-based format,True
CHEMBL24007,Cc1c(CSc2cccc(Cl)c2)cnc2nc(N)nc(N)c12,150.0,nM,IC50,6.82,Toxoplasma gondii,organism-based format,True
CHEMBL23963,COc1cc(NCc2cnc3nc(N)nc(N)c3c2C)cc(C(F)(F)F)c1,200.0,nM,IC50,6.70,Toxoplasma gondii,organism-based format,True
CHEMBL23383,Cc1ccc(C)c(NCc2cnc3nc(N)nc(N)c3c2C)c1,10.0,nM,IC50,8.00,Toxoplasma gondii,organism-based format,True
CHEMBL279705,COc1ccc(C)cc1NCc1cnc2nc(N)nc(N)c2c1C,50.0,nM,IC50,7.30,Toxoplasma gondii,organism-based format,True
CHEMBL283518,COc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)cc1OC,600.0,nM,IC50,6.22,Toxoplasma gondii,organism-based format,True
CHEMBL23560,COc1ccc(C)c(NCc2cnc3nc(N)nc(N)c3n2)c1,1000.0,nM,IC50,6.00,Toxoplasma gondii,organism-based format,True
CHEMBL23492,Nc1nc(N)c2cc(CNc3ccc(Cl)cc3)cnc2n1,4000.0,nM,IC50,5.40,Toxoplasma gondii,organism-based format,True
CHEMBL7492,COc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1,20.0,nM,IC50,7.70,Toxoplasma gondii,organism-based format,True
CHEMBL23286,COc1ccc(SCc2cnc3nc(N)nc(N)c3n2)cc1OC,5000.0,nM,IC50,5.30,Toxoplasma gondii,organism-based format,True
CHEMBL23288,COc1cc(NCc2cnc3nc(N)nc(N)c3c2)cc(OC)c1OC,15000.0,nM,IC50,4.82,Toxoplasma gondii,organism-based format,True
CHEMBL277217,COc1cccc(SCc2cnc3nc(N)nc(N)c3c2C)c1,200.0,nM,IC50,6.70,Toxoplasma gondii,organism-based format,True
CHEMBL23787,Nc1nc(N)c2nc(CSc3ccc(Cl)cc3)cnc2n1,10000.0,nM,IC50,,Toxoplasma gondii,organism-based format,True
CHEMBL23657,COc1cccc(C)c1NCc1cnc2nc(N)nc(N)c2n1,5000.0,nM,IC50,5.30,Toxoplasma gondii,organism-based format,True
CHEMBL23844,CCOc1ccc(OCC)c(N(C)Cc2cnc3nc(N)nc(N)c3c2C)c1,60.0,nM,IC50,7.22,Toxoplasma gondii,organism-based format,True
CHEMBL23584,Cc1c(CSc2cccc3ccccc23)cnc2nc(N)nc(N)c12,40.0,nM,IC50,7.40,Toxoplasma gondii,organism-based format,True
CHEMBL23713,COc1ccc(C)c(NCc2cnc3nc(N)nc(N)c3c2C)c1,30.0,nM,IC50,7.52,Toxoplasma gondii,organism-based format,True
CHEMBL23532,COc1cc(NCc2cnc3nc(N)nc(N)c3c2C)cc(OC)c1OC,1000.0,nM,IC50,6.00,Toxoplasma gondii,organism-based format,True
CHEMBL80070,COc1cccc(NCc2cnc3nc(N)nc(N)c3c2C)c1,371.0,nM,IC50,6.43,Toxoplasma gondii,organism-based format,True
CHEMBL81119,Cc1c(CNc2ccccc2Cl)cnc2nc(N)nc(N)c12,58.0,nM,IC50,7.24,Toxoplasma gondii,organism-based format,True
CHEMBL79123,Cc1c(CNc2ccccc2)cnc2nc(N)nc(N)c12,317.0,nM,IC50,6.50,Toxoplasma gondii,organism-based format,True
CHEMBL434024,O=P(O)(O)C(O)(Cc1ccccn1)P(=O)(O)O,9100.0,nM,IC50,5.04,Toxoplasma gondii,organism-based format,True
CHEMBL52761,CCCC(O)(P(=O)(O)O)P(=O)(O)O,9100.0,nM,IC50,5.04,Toxoplasma gondii,organism-based format,True
CHEMBL923,O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O,490.0,nM,IC50,6.31,Toxoplasma gondii,organism-based format,True
CHEMBL55886,O=P(O)(O)C(O)(Cc1ccncc1)P(=O)(O)O,200000.0,nM,IC50,,Toxoplasma gondii,organism-based format,True
CHEMBL293522,O=P(O)(O)C(O)(CCc1cccnc1)P(=O)(O)O,200000.0,nM,IC50,,Toxoplasma gondii,organism-based format,True
CHEMBL195506,CC/N=C(/S)N/N=C/c1ccccc1[N+](=O)[O-],500000.0,nM,IC50,,Toxoplasma gondii,organism-based format,True
CHEMBL445654,CC/N=C(/S)N/N=C/c1cccc([N+](=O)[O-])c1,80000.0,nM,IC50,4.10,Toxoplasma gondii,organism-based format,True
CHEMBL365175,CC/N=C(/S)N/N=C/c1ccc([N+](=O)[O-])cc1,500000.0,nM,IC50,,Toxoplasma gondii,organism-based format,True
CHEMBL193649,O=[N+]([O-])c1ccccc1/C=N/N=C(\S)Nc1ccccc1,500000.0,nM,IC50,,Toxoplasma gondii,organism-based format,True
CHEMBL194029,O=[N+]([O-])c1cccc(/C=N/N=C(\S)Nc2ccccc2)c1,80000.0,nM,IC50,4.10,Toxoplasma gondii,organism-based format,True
CHEMBL194091,O=C(O)CC1SC(N/N=C/c2cccc([N+](=O)[O-])c2)=NC1=O,500000.0,nM,IC50,,Toxoplasma gondii,organism-based format,True
CHEMBL370876,O=C(O)CC1SC(N/N=C/c2ccc([N+](=O)[O-])cc2)=NC1=O,500000.0,nM,IC50,,Toxoplasma gondii,organism-based format,True
CHEMBL194123,CN1C(=O)C(CC(=O)O)S/C1=N\N=C\c1ccccc1[N+](=O)[O-],500000.0,nM,IC50,,Toxoplasma gondii,organism-based format,True
CHEMBL370691,CCN1C(=O)C(CC(=O)O)S/C1=N\N=C\c1ccc([N+](=O)[O-])cc1,500000.0,nM,IC50,,Toxoplasma gondii,organism-based format,True
CHEMBL467,NC(=O)NO,100000.0,nM,IC50,4.00,Toxoplasma gondii,organism-based format,True
CHEMBL439,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,100000.0,nM,IC50,4.00,Toxoplasma gondii,organism-based format,True
CHEMBL193474,N/C(S)=N/N=C/c1cccc([N+](=O)[O-])c1,100000.0,nM,IC50,4.00,Toxoplasma gondii,organism-based format,True
CHEMBL193804,N/C(S)=N/N=C/c1ccc([N+](=O)[O-])cc1,500000.0,nM,IC50,,Toxoplasma gondii,organism-based format,True
CHEMBL191686,C/N=C(/S)N/N=C/c1ccccc1[N+](=O)[O-],500000.0,nM,IC50,,Toxoplasma gondii,organism-based format,True
CHEMBL195486,C/N=C(/S)N/N=C/c1cccc([N+](=O)[O-])c1,500000.0,nM,IC50,,Toxoplasma gondii,organism-based format,True
CHEMBL195459,C/N=C(/S)N/N=C/c1ccc([N+](=O)[O-])cc1,3000000.0,nM,IC50,,Toxoplasma gondii,organism-based format,True
CHEMBL24983,O=c1oc(Cl)c(Cl)c2ccccc12,12500.0,nM,IC50,4.90,Toxoplasma gondii,organism-based format,True
CHEMBL1450,O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,9.0,nM,IC50,8.05,Toxoplasma gondii,organism-based format,True
CHEMBL39581,N#CSCCOc1ccc(Oc2ccccc2)cc1,2800.0,nM,IC50,5.55,Toxoplasma gondii,organism-based format,True
CHEMBL235669,Fc1ccc(Oc2ccc(OCCOC3CCCCO3)cc2)cc1,6160.0,nM,IC50,5.21,Toxoplasma gondii,organism-based format,True
CHEMBL238006,Fc1cccc(Oc2ccc(OCCOC3CCCCO3)cc2)c1,3990.0,nM,IC50,5.40,Toxoplasma gondii,organism-based format,True
CHEMBL397366,N#CSCCOc1ccc(Oc2ccc(F)cc2)cc1,3850.0,nM,IC50,5.42,Toxoplasma gondii,organism-based format,True
CHEMBL236089,N#CSCCOc1ccc(Oc2cccc(F)c2)cc1,15800.0,nM,IC50,4.80,Toxoplasma gondii,organism-based format,True
CHEMBL403162,S=C(N/N=C/c1ccccc1)Nc1ccccc1,5000000.0,nM,IC50,,Toxoplasma gondii,organism-based format,True
CHEMBL253845,CC(C)(C)c1cc(/C=N/N=C2\SC(CC(=O)O)C(=O)N2c2ccccc2)cc(C(C)(C)C)c1O,1000000.0,nM,IC50,,Toxoplasma gondii,organism-based format,True
CHEMBL436828,COc1cc(/C=N/N=C2\SC(CC(=O)O)C(=O)N2c2ccccc2)cc(OC)c1OC,1000000.0,nM,IC50,,Toxoplasma gondii,organism-based format,True
CHEMBL402300,COc1ccc(/C=N/N=C2\SC(CC(=O)O)C(=O)N2c2ccccc2)c(OC)c1,2000000.0,nM,IC50,,Toxoplasma gondii,organism-based format,True
CHEMBL253040,COc1ccc(/C=N/N=C2\SC(CC(=O)O)C(=O)N2c2ccccc2)cc1,500000.0,nM,IC50,,Toxoplasma gondii,organism-based format,True
CHEMBL253039,COc1cccc(/C=N/N=C2\SC(CC(=O)O)C(=O)N2c2ccccc2)c1,3000000.0,nM,IC50,,Toxoplasma gondii,organism-based format,True
CHEMBL402299,Cc1ccc(/C=N/N=C2\SC(CC(=O)O)C(=O)N2c2ccccc2)cc1,100000.0,nM,IC50,4.00,Toxoplasma gondii,organism-based format,True
CHEMBL265419,O=C(O)CC1S/C(=N\N=C\c2cccc(Cl)c2)N(c2ccccc2)C1=O,3000000.0,nM,IC50,,Toxoplasma gondii,organism-based format,True
CHEMBL253107,CN(C)c1ccc(/C=N/N=C2\SC(CC(=O)O)C(=O)N2c2ccccc2)cc1,50000.0,nM,IC50,4.30,Toxoplasma gondii,organism-based format,True
CHEMBL253106,COc1cc(/C=N/N=C2\SC(CC(=O)O)C(=O)N2c2ccccc2)ccc1O,3000000.0,nM,IC50,,Toxoplasma gondii,organism-based format,True
CHEMBL404134,O=C(O)CC1S/C(=N\N=C\c2ccc(F)cc2)N(c2ccccc2)C1=O,50000.0,nM,IC50,4.30,Toxoplasma gondii,organism-based format,True
CHEMBL253105,O=C(O)CC1S/C(=N\N=C\c2ccccc2F)N(c2ccccc2)C1=O,2000000.0,nM,IC50,,Toxoplasma gondii,organism-based format,True
CHEMBL404133,Cc1cccc(/C=N/N=C2\SC(CC(=O)O)C(=O)N2c2ccccc2)c1,1000000.0,nM,IC50,,Toxoplasma gondii,organism-based format,True
CHEMBL253516,O=C(O)CC1S/C(=N\N=C\c2ccc(Cl)c(Cl)c2)N(c2ccccc2)C1=O,1500000.0,nM,IC50,,Toxoplasma gondii,organism-based format,True
CHEMBL402358,O=C(O)CC1S/C(=N\N=C\c2ccc(Cl)cc2Cl)N(c2ccccc2)C1=O,1500000.0,nM,IC50,,Toxoplasma gondii,organism-based format,True
CHEMBL402145,O=C(O)CC1S/C(=N\N=C\c2ccc(Cl)cc2)N(c2ccccc2)C1=O,1500000.0,nM,IC50,,Toxoplasma gondii,organism-based format,True
CHEMBL253099,O=C(O)CC1S/C(=N\N=C\c2ccccc2)N(c2ccccc2)C1=O,4000000.0,nM,IC50,,Toxoplasma gondii,organism-based format,True
CHEMBL403118,CC(C)(C)c1cc(/C=N/NC(=S)Nc2ccccc2)cc(C(C)(C)C)c1O,5000000.0,nM,IC50,,Toxoplasma gondii,organism-based format,True
CHEMBL403229,COc1cc(/C=N/NC(=S)Nc2ccccc2)cc(OC)c1OC,3000000.0,nM,IC50,,Toxoplasma gondii,organism-based format,True
CHEMBL254322,COc1ccc(/C=N/NC(=S)Nc2ccccc2)c(OC)c1,2000000.0,nM,IC50,,Toxoplasma gondii,organism-based format,True
CHEMBL252966,COc1ccc(/C=N/NC(=S)Nc2ccccc2)cc1,2000000.0,nM,IC50,,Toxoplasma gondii,organism-based format,True
