molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label,passes_lipinski
CHEMBL1412,C1CNCCN1,83000.0,nM,IC50,4.08,HL-60,cell-based format,True
CHEMBL170,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,0.7,nM,IC50,9.15,Plasmodium falciparum,organism-based format,True
CHEMBL1401,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,15.0,nM,IC50,7.82,Giardia intestinalis,organism-based format,True
CHEMBL1377,CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1,3800.0,nM,IC50,5.42,A549,cell-based format,True
CHEMBL747,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,0.118,nM,IC50,9.93,Plasmodium falciparum,organism-based format,True
CHEMBL290960,CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1,110.0,nM,IC50,6.96,Leishmania donovani,organism-based format,True
CHEMBL1483,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,37.0,nM,IC50,7.43,Giardia intestinalis,organism-based format,True
CHEMBL964,CCN(CC)C(=S)SSC(=S)N(CC)CC,31.1,nM,IC50,7.51,Unchecked,assay format,True
CHEMBL76,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,0.03,nM,IC50,10.52,Plasmodium falciparum,organism-based format,True
CHEMBL1535,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,21.5,nM,IC50,7.67,Plasmodium falciparum,organism-based format,True
CHEMBL301267,CCO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3,1.08,nM,IC50,8.97,Plasmodium falciparum (isolate K1 / Thailand),organism-based format,True
CHEMBL1220,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,300.0,nM,IC50,6.52,Giardia intestinalis,organism-based format,True
CHEMBL50588,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21,0.19,nM,IC50,9.72,CHO,cell-based format,True
CHEMBL36,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,0.028,nM,IC50,10.55,Plasmodium falciparum,organism-based format,True
CHEMBL120563,CN(C)C(=S)SSC(=S)N(C)C,20.0,nM,IC50,7.7,Aldehyde dehydrogenase 1A1,single protein format,True
CHEMBL685,COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1,54.2,nM,IC50,7.27,Unchecked,cell-based format,True
CHEMBL37161,COC(=O)Nc1nc2cc(Sc3ccccc3)ccc2[nH]1,1.0,nM,IC50,9.0,Unchecked,assay format,True
CHEMBL1788401,COC(=O)Nc1nc2ccc(C(=O)C3CC3)cc2[nH]1,154.7,nM,IC50,6.81,Unchecked,assay format,True
CHEMBL32838,CO[C@@H]1[C@H](OC(=O)/C=C/C=C/C=C/C=C/C(=O)O)CC[C@]2(CO2)[C@H]1[C@@]1(C)O[C@@H]1CC=C(C)C,0.63,nM,IC50,9.2,Methionine aminopeptidase 2,single protein format,True
CHEMBL566534,CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3,1.26,nM,IC50,8.9,Plasmodium falciparum,organism-based format,True
CHEMBL506,COc1cc(NC(C)CCCN)c2ncccc2c1,6.17,nM,IC50,8.21,Plasmodium falciparum,organism-based format,True
CHEMBL119,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,1.35,nM,IC50,8.87,Dihydrofolate reductase,cell-based format,True
