molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label,passes_lipinski
CHEMBL124363,C#C[C@@]1(CO)C=C[C@H](n2cc(C)c(=O)[nH]c2=O)O1,200.0,nM,IC50,6.7,Human immunodeficiency virus 1,organism-based format,True
CHEMBL517231,C#C[C@]1(CO)O[C@@H](n2cnc3c(N)nc(F)nc32)C[C@@H]1O,0.21,nM,IC50,9.68,Human immunodeficiency virus 1,organism-based format,True
CHEMBL713,C=C1[C@H](CO)[C@@H](O)C[C@@H]1n1cnc2c(=O)[nH]c(N)nc21,0.06,nM,IC50,10.22,Hepatitis B virus,organism-based format,True
CHEMBL37624,CC(=O)c1ccc(C)cc1NC(C(N)=O)c1c(Cl)cccc1Cl,6.0,nM,IC50,8.22,Human immunodeficiency virus 1,organism-based format,True
CHEMBL4802135,CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C2(C)C,0.79,nM,IC50,9.1,Replicase polyprotein 1ab,assay format,True
CHEMBL2178578,CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cc[n+]([O-])cc2)cc1,2.6,nM,IC50,8.59,C-C chemokine receptor type 9,cell-based format,True
CHEMBL58711,CC(C)=CCN1Cc2c(Cl)ccc3[nH]c(=S)n(c23)C[C@@H]1C,3.0,nM,IC50,8.52,Human immunodeficiency virus 1,organism-based format,True
CHEMBL1282,CC(C)Cn1cnc2c(N)nc3ccccc3c21,646.0,nM,IC50,6.19,"7,8-dihydro-8-oxoguanine triphosphatase",single protein format,True
CHEMBL593,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,0.846,nM,IC50,9.07,Plasmodium yoelii yoelii,organism-based format,True
CHEMBL283403,CC(C)S(=O)(=O)n1c(N)nc2ccc(/C(=N/O)c3ccccc3)cc21,40.0,nM,IC50,7.4,Human rhinovirus sp.,organism-based format,True
CHEMBL959,CC(N)C12CC3CC(CC(C3)C1)C2,35.6,nM,IC50,7.45,Plasmodium yoelii yoelii,organism-based format,True
CHEMBL535396,CC(N)C12CC3CC(CC(C3)C1)C2.Cl,7040.0,nM,IC50,5.15,Trypanosoma brucei,organism-based format,True
CHEMBL807,CC12CC3CC(C)(C1)CC(N)(C3)C2,0.95,nM,IC50,9.02,Glutamate NMDA receptor; GRIN1/GRIN2A,cell-based format,True
CHEMBL1699,CC12CC3CC(C)(C1)CC(N)(C3)C2.Cl,1376.1,nM,IC50,5.86,Glutamate NMDA receptor; Grin1/Grin2a,cell-based format,True
CHEMBL674,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,0.016,nM,IC50,10.8,Unchecked,assay format,True
CHEMBL1773,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,4.33,nM,IC50,8.36,NON-PROTEIN TARGET,cell-based format,True
CHEMBL280527,CCNc1cccnc1N1CCN(C(=O)c2cc3cc(OC)ccc3[nH]2)CC1,1.0,nM,IC50,9.0,Human immunodeficiency virus 1,organism-based format,True
CHEMBL1229,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,0.06,nM,IC50,10.22,Neuraminidase,single protein format,True
CHEMBL1200340,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1.O=P(O)(O)O,800.0,nM,IC50,6.1,Neuraminidase,single protein format,True
CHEMBL35033,CCOCn1c(Cc2ccccc2)c(C(C)C)c(=O)[nH]c1=O,4.0,nM,IC50,8.4,ADMET,assay format,True
CHEMBL301370,CC[C@H]1C(=O)Nc2ccc(F)cc2N1C(=O)OC(C)C,45.0,nM,IC50,7.35,Human immunodeficiency virus type 1 reverse transcriptase,single protein format,True
CHEMBL318153,CCc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,150.0,nM,IC50,6.82,Thymidine kinase,single protein format,True
CHEMBL571987,CCc1nn(CCO)c(CC)c1Oc1cc(C#N)cc(C#N)c1,4.0,nM,IC50,8.4,Human immunodeficiency virus,organism-based format,True
CHEMBL46917,CNC(=O)Oc1cccc2ccccc12,3100.0,nM,IC50,5.51,Acetylcholinesterase,single protein format,True
CHEMBL1092581,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(CCO)S(C)(=O)=O)c(C3CC3)cc12,0.8,nM,IC50,9.1,Hepatitis C virus,organism-based format,True
CHEMBL3137312,COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C,600.0,nM,IC50,6.22,Unchecked,assay format,True
CHEMBL61,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,0.1,nM,IC50,10.0,MCF7,cell-based format,True
CHEMBL204656,COc1cc2c(cc1Cc1cccc(Cl)c1F)c(=O)c(C(=O)O)cn2[C@H](CO)C(C)C,1.3,nM,IC50,8.89,Human immunodeficiency virus 1,organism-based format,True
CHEMBL3301620,COc1cnc(-n2cnc(C)n2)c2[nH]cc(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)CC3)c12,4.59,nM,IC50,8.34,Human immunodeficiency virus 1,organism-based format,True
CHEMBL1229211,C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,0.5,nM,IC50,9.3,Human immunodeficiency virus 1,organism-based format,True
CHEMBL1213165,C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c([O-])c3C(=O)N12.[Na+],2.7,nM,IC50,8.57,Human immunodeficiency virus type 1 integrase,single protein format,True
CHEMBL483,C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O,380.0,nM,IC50,6.42,Human immunodeficiency virus type 1 reverse transcriptase,single protein format,True
CHEMBL2403238,C[C@H]1CO[C@@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,0.2,nM,IC50,9.7,Human immunodeficiency virus 1,organism-based format,True
CHEMBL1130,C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,3000.0,nM,IC50,5.52,L1210,cell-based format,True
CHEMBL175691,Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,0.4,nM,IC50,9.4,Human immunodeficiency virus 1,organism-based format,True
CHEMBL308954,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,0.6,nM,IC50,9.22,Human immunodeficiency virus type 1 reverse transcriptase,single protein format,True
CHEMBL70663,Cc1cc(C)c(Nc2ccnc(Nc3ccc(C#N)cc3)n2)c(C)c1,0.1,nM,IC50,10.0,Human immunodeficiency virus 1,organism-based format,True
CHEMBL283639,Cc1cc(CCCCCCCOc2ccc(C3=NCCO3)cc2)on1,4.0,nM,IC50,8.4,Human rhinovirus 2,organism-based format,True
CHEMBL29609,Cc1cc(CCCOc2c(C)cc(-c3noc(C(F)(F)F)n3)cc2C)on1,1.0,nM,IC50,9.0,Human coxsackievirus B3,assay format,True
CHEMBL57,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,1.3,nM,IC50,8.89,Human immunodeficiency virus type 1 reverse transcriptase,single protein format,True
CHEMBL991,Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O,20.0,nM,IC50,7.7,ADMET,assay format,True
CHEMBL485652,Cc1cn([C@H]2C=C[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O,36.0,nM,IC50,7.44,Human immunodeficiency virus type 1 reverse transcriptase,single protein format,True
