molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label,passes_lipinski
CHEMBL1401,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,3250.0,nM,IC50,5.49,Cryptosporidium parvum,organism-based format,True
CHEMBL202131,O=C(Cc1ccc([N+](=O)[O-])cc1)c1c(O)cc(O)cc1O,70800.0,nM,IC50,4.15,Cryptosporidium parvum,organism-based format,True
CHEMBL202522,O=C1c2c(O)cc(O)cc2OCC1c1ccc([N+](=O)[O-])cc1,11700.0,nM,IC50,4.93,Cryptosporidium parvum,organism-based format,True
CHEMBL202181,O=C(O)c1oc2cc(O)cc(O)c2c(=O)c1-c1cccc(Br)c1,20100.0,nM,IC50,4.70,Cryptosporidium parvum,organism-based format,True
CHEMBL439334,CCOC(=O)c1oc2cc(O)cc(O)c2c(=O)c1-c1cccc(Br)c1,1600.0,nM,IC50,5.80,Cryptosporidium parvum,organism-based format,True
CHEMBL202163,CCOC(=O)c1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(Br)cc1,600.0,nM,IC50,6.22,Cryptosporidium parvum,organism-based format,True
CHEMBL424858,CCOC(=O)c1oc2cc(O)cc(O)c2c(=O)c1-c1cccc([N+](=O)[O-])c1,15800.0,nM,IC50,4.80,Cryptosporidium parvum,organism-based format,True
CHEMBL204028,CCOC(=O)c1oc2cc(O)cc(O)c2c(=O)c1-c1ccc([N+](=O)[O-])cc1,64100.0,nM,IC50,4.19,Cryptosporidium parvum,organism-based format,True
CHEMBL204713,O=c1c(-c2cccc(Br)c2)coc2cc(O)cc(O)c12,400.0,nM,IC50,6.40,Cryptosporidium parvum,organism-based format,True
CHEMBL204438,O=c1c(-c2ccc(Br)cc2)coc2cc(O)cc(O)c12,1300.0,nM,IC50,5.89,Cryptosporidium parvum,organism-based format,True
CHEMBL203855,O=c1c(-c2cccc([N+](=O)[O-])c2)coc2cc(O)cc(O)c12,300.0,nM,IC50,6.52,Cryptosporidium parvum,organism-based format,True
CHEMBL203854,O=c1c(-c2ccc([N+](=O)[O-])cc2)coc2cc(O)cc(O)c12,1800.0,nM,IC50,5.75,Cryptosporidium parvum,organism-based format,True
