molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label,passes_lipinski
CHEMBL55641,FC(F)(F)c1nc2ccccc2[nH]1,69.0,nM,IC50,7.16,Entamoeba histolytica,organism-based format,True
CHEMBL53788,FC(F)(F)c1nc2cc(Cl)ccc2[nH]1,22.0,nM,IC50,7.66,Entamoeba histolytica,organism-based format,True
CHEMBL137,Cc1ncc([N+](=O)[O-])n1CCO,350.0,nM,IC50,6.46,Entamoeba histolytica,organism-based format,True
CHEMBL56473,Cn1c(C(F)(F)F)nc2cc(Cl)ccc21,46.0,nM,IC50,7.34,Entamoeba histolytica,organism-based format,True
CHEMBL293520,Cn1c(C(F)(F)F)nc2ccccc21,40.0,nM,IC50,7.40,Entamoeba histolytica,organism-based format,True
CHEMBL56234,FC(F)(F)c1nc2cc(Cl)c(Cl)cc2[nH]1,11.0,nM,IC50,7.96,Entamoeba histolytica,organism-based format,True
CHEMBL56179,Cn1c(C(F)(F)F)nc2ccc(Cl)cc21,8.0,nM,IC50,8.10,Entamoeba histolytica,organism-based format,True
CHEMBL54544,Cn1c(C(F)(F)F)nc2cc(Cl)c(Cl)cc21,33.0,nM,IC50,7.48,Entamoeba histolytica,organism-based format,True
CHEMBL1483,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,56330.0,nM,IC50,4.25,Entamoeba histolytica,organism-based format,True
CHEMBL116674,CCC/N=C(\S)N/N=C/c1ccc([N+](=O)[O-])s1,15380.0,nM,IC50,4.81,Entamoeba histolytica,organism-based format,True
CHEMBL116244,O=[N+]([O-])c1ccc(/C=N/N=C(\S)NC2CCCCC2)s1,2410.0,nM,IC50,5.62,Entamoeba histolytica,organism-based format,True
CHEMBL326359,CC(C)/N=C(\S)N/N=C/c1ccc([N+](=O)[O-])s1,9600.0,nM,IC50,5.02,Entamoeba histolytica,organism-based format,True
CHEMBL116138,CCCC/N=C(\S)N/N=C/c1ccc([N+](=O)[O-])s1,12170.0,nM,IC50,4.92,Entamoeba histolytica,organism-based format,True
CHEMBL117124,CCCN(CCC)/C(S)=N/N=C/c1ccc([N+](=O)[O-])s1,6400.0,nM,IC50,5.19,Entamoeba histolytica,organism-based format,True
CHEMBL116141,CCC(C)N(/C(S)=N/N=C/c1ccc([N+](=O)[O-])s1)C(C)CC,11630.0,nM,IC50,4.93,Entamoeba histolytica,organism-based format,True
CHEMBL323864,CN(/C(S)=N/N=C/c1ccc([N+](=O)[O-])s1)C1CCCCC1,8300.0,nM,IC50,5.08,Entamoeba histolytica,organism-based format,True
CHEMBL116243,O=[N+]([O-])c1ccc(/C=N/N=C(\S)N2CCCCCC2)s1,1710.0,nM,IC50,5.77,Entamoeba histolytica,organism-based format,True
CHEMBL325000,CCC(C)/N=C(\S)N/N=C/c1ccc([N+](=O)[O-])s1,13500.0,nM,IC50,4.87,Entamoeba histolytica,organism-based format,True
CHEMBL324374,CCN(CC)/C(S)=N/N=C/c1ccc([N+](=O)[O-])s1,10100.0,nM,IC50,5.00,Entamoeba histolytica,organism-based format,True
CHEMBL332475,O=[N+]([O-])c1ccc(/C=N/N=C(\S)NC2CCCC2)s1,2860.0,nM,IC50,5.54,Entamoeba histolytica,organism-based format,True
CHEMBL416771,C/C(=N\NC(N)=S)c1ccccn1,0.31,ug.mL-1,IC50,,Entamoeba histolytica,organism-based format,True
CHEMBL72683,c1ccc(-c2nc3ccccc3[nH]2)nc1,0.42,ug.mL-1,IC50,,Entamoeba histolytica,organism-based format,True
CHEMBL73007,CS/C(S)=N/N=C(\C)c1ccccn1,0.38,ug.mL-1,IC50,,Entamoeba histolytica,organism-based format,True
CHEMBL72739,C/C(=N\N=C(/S)SCc1ccccc1)c1ccccn1,0.4,ug.mL-1,IC50,,Entamoeba histolytica,organism-based format,True
CHEMBL55221,O=P(O)(O)C(O)(C1CCCCC1)P(=O)(O)O,200000.0,nM,IC50,,Entamoeba histolytica,organism-based format,True
CHEMBL55779,O=P(O)(O)C(N(C1CCCCC1)C1CCCCC1)P(=O)(O)O,200000.0,nM,IC50,,Entamoeba histolytica,organism-based format,True
