molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label,passes_lipinski
CHEMBL221190,COc1cc2c(O)c3c(c(-c4ccc5c(c4)OCO5)c2cc1OC)C(=O)OC3,14400.0,nM,IC50,4.84,Leishmania,organism-based format,True
CHEMBL4470963,C=C[C@]1(C)C[C@H](OC(=O)[C@@H](C)CO)[C@@H]2[C@H](OC(=O)[C@H]2CN2CCC[C@H]2C(=O)O)[C@H]1C(=C)CO,50000.0,nM,IC50,,Leishmania,organism-based format,True
CHEMBL4540001,C=C[C@]1(C)C[C@H](OC(=O)C(=C)CO)[C@@H]2[C@H](OC(=O)[C@H]2CN2CCC[C@H]2C(=O)O)[C@H]1C(=C)CO,50000.0,nM,IC50,,Leishmania,organism-based format,True
CHEMBL4460139,C=C[C@]1(C)C[C@H](OC(=O)/C(=C/C)CO)[C@@H]2[C@H](OC(=O)[C@H]2CN2CCC[C@H]2C(=O)O)[C@H]1C(=C)CO,50000.0,nM,IC50,,Leishmania,organism-based format,True
CHEMBL4464806,C=C(CO)C(=O)O[C@H]1C/C(C)=C/CC/C(CO)=C/[C@H]2OC(=O)[C@@H](CN3CCC[C@H]3C(=O)O)[C@H]12,50000.0,nM,IC50,,Leishmania,organism-based format,True
CHEMBL4550704,C[C@@H]1O[C@@H](Oc2cc(O)c3c(=O)cc(-c4ccc(O)cc4)oc3c2)[C@H](O)[C@H](O)[C@H]1O,50000.0,nM,IC50,,Leishmania,organism-based format,True
CHEMBL487018,COc1ccc(-c2cc(=O)c3c(O)cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc1,50000.0,nM,IC50,,Leishmania,organism-based format,True
CHEMBL4870124,CCn1nc2cc(N/C(C)=C3/C(=O)C=C(C)OC3=O)ccc2c1Cl,2480.0,nM,IC50,5.61,Leishmania,organism-based format,True
CHEMBL164580,C[N+]1(CCOP(=O)([O-])OCCOC2CCCCC2)CCOCC1,100000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL165097,C[N+](C)(C)CCOP(=O)([O-])OCCCCC=C1CCCCC1,100000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL349670,C[N+](C)(C)CCOP(=O)([O-])OCCOc1ccc2ccccc2c1,100000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL166069,C[N+]1(CCOP(=O)([O-])Oc2ccc(C34CC5CC(CC(C5)C3)C4)cc2)CCOCC1,100000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL350506,C[N+]1(CCOP(=O)([O-])OCCOC2CCCCC2)CCCCC1,100000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL351276,C[N+]1(CCOP(=O)([O-])OCCCCC=C2C3CC4CC(C3)CC2C4)CCOCC1,100000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL166026,C[N+]1(CCOP(=O)([O-])OCCCCC=C2C3CC4CC(C3)CC2C4)CCCCC1,100000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL164726,C[N+]1(CCOP(=O)([O-])OCCOc2ccc3ccccc3c2)CCOCC1,100000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL165668,C[N+]1(CCOP(=O)([O-])OCCCCC=C2CCCCC2)CCCCC1,100000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL165411,C[N+]1(CCOP(=O)([O-])OCCCCC=C2CCCCC2)CCOCC1,100000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL165807,C[N+]1(CCOP(=O)([O-])OCCOc2ccccc2)CCOCC1,100000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL351420,C[N+](C)(C)CCOP(=O)([O-])OCCOc1ccccc1,100000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL164863,C[N+](C)(C)CCOP(=O)([O-])OCCOC1CCCCC1,100000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL451548,C[N+](C)(C)CCOP(=O)([O-])OCC12CC3CC(CC(C3)C1)C2,100000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL435661,C[N+](C)(C)CCOP(=O)([O-])OCCCCC=C1C2CC3CC(C2)CC1C3,100000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL121434,CN1CCN(C(=O)/C=C/c2ccc3ccccc3n2)CC1,32000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL334308,OC(Cc1ccc2ccccc2n1)c1ccc(F)cc1,32000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL121345,O=C(/C=C/c1ccc2ccccc2n1)N1CCCCC1,16000.0,nM,IC50,4.80,Leishmania infantum,organism-based format,True
CHEMBL121001,COc1ccc(/C=C/c2ccc3ccccc3n2)cc1OC,22000.0,nM,IC50,4.66,Leishmania infantum,organism-based format,True
CHEMBL121177,O=[N+]([O-])c1ccc(C(O)Cc2ccc3ccccc3n2)cc1,32000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL119769,O=[N+]([O-])c1ccc(/C=C/c2ccc3ccccc3n2)cc1,32000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL120734,CN(C)c1ccc(/C=C/c2ccc3ccccc3n2)cc1,32000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL124355,COc1ccc(C(O)Cc2ccc3ccccc3n2)cc1OC,32000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL538157,O=C/C=C/c1ccc2ccccc2n1,2000.0,nM,IC50,5.70,Leishmania infantum,organism-based format,True
CHEMBL122675,CN(C)c1ccc(C(O)Cc2ccc3ccccc3n2)cc1,32000.0,nM,IC50,,Leishmania infantum,organism-based format,True
