molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label,passes_lipinski
CHEMBL462728,CN1C(=O)[C@]23C[C@H]4C(C)(C)[C@@]5(C[C@@]41CN2CC[C@@]3(C)O)C(=O)Nc1cc2c(cc15)OC(C)(C)C=CO2,2.5,ug.mL-1,IC50,,Caenorhabditis elegans,organism-based format,True
CHEMBL685,COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1,10.0,ppm,IC50,,Caenorhabditis elegans,organism-based format,True
CHEMBL4059696,CC(C)=C[C@H](O)C[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3[C@@H](O)C=C4[C@@H](CC[C@H](O)C4(C)C)[C@@]3(C=O)CC[C@]12C,30000.0,nM,IC50,4.52,Caenorhabditis elegans,assay format,True
CHEMBL289191,C=C(C)[C@@H]1CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,5000.0,nM,IC50,5.30,Caenorhabditis elegans,assay format,True
CHEMBL269277,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,150000.0,nM,IC50,,Caenorhabditis elegans,assay format,True
CHEMBL169,C[C@H]1[C@H](C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12,50000.0,nM,IC50,4.30,Caenorhabditis elegans,assay format,True
CHEMBL42710,C=CCc1ccc(O)c(OC)c1,370000.0,nM,IC50,,Caenorhabditis elegans,assay format,True
CHEMBL164660,O=c1ccc2cc3ccoc3cc2o1,641370000.0,nM,IC50,,Caenorhabditis elegans,assay format,True
CHEMBL1377788,OC[C@H]1OC(O)C[C@@H](O)[C@@H]1O,19500000.0,nM,IC50,,Caenorhabditis elegans,organism-based format,True
CHEMBL1222249,OC1OC[C@@H](O)[C@@H](O)[C@@H]1O,7500000.0,nM,IC50,,Caenorhabditis elegans,organism-based format,True
CHEMBL1950318,Cc1cc(/C=C/C(=O)c2ccccc2)cc2c1OCC1COC2O1,1.0,ug.mL-1,IC50,,Brugia malayi,organism-based format,True
CHEMBL1950319,Cc1cc(/C=C/C(=O)c2ccc(Cl)cc2)cc2c1OCC1COC2O1,0.6,ug.mL-1,IC50,,Brugia malayi,organism-based format,True
CHEMBL1950320,Cc1ccc(C(=O)/C=C/c2cc(C)c3c(c2)C2OCC(CO3)O2)cc1,0.4,ug.mL-1,IC50,,Brugia malayi,organism-based format,True
CHEMBL1950321,COc1ccc(C(=O)/C=C/c2cc(C)c3c(c2)C2OCC(CO3)O2)cc1,3.5,ug.mL-1,IC50,,Brugia malayi,organism-based format,True
CHEMBL1950322,CCC(C)c1cc(/C=C/C(=O)c2ccccc2)cc2c1OCC1COC2O1,0.9,ug.mL-1,IC50,,Brugia malayi,organism-based format,True
CHEMBL1950323,CCC(C)c1cc(/C=C/C(=O)c2ccc(Cl)cc2)cc2c1OCC1COC2O1,1.6,ug.mL-1,IC50,,Brugia malayi,organism-based format,True
CHEMBL1950324,CCC(C)c1cc(/C=C/C(=O)c2ccc(C)cc2)cc2c1OCC1COC2O1,0.5,ug.mL-1,IC50,,Brugia malayi,organism-based format,True
CHEMBL684,CCN(CC)C(=O)N1CCN(C)CC1,289.0,ug.mL-1,IC50,,Brugia malayi,organism-based format,True
CHEMBL2093165,O=C(COc1ccc(Cl)cc1Cl)Nc1nnc(C23CC4CC(CC(C4)C2)C3)s1,1490.0,nM,IC50,5.83,Brugia malayi,organism-based format,True
CHEMBL2093167,O=C(O)CCC(=O)Nc1ccc(Br)cc1,6600.0,nM,IC50,5.18,Brugia malayi,organism-based format,True
CHEMBL2093168,Cc1cccc(-n2nc3c(c2NC(=O)Nc2cccc(Cl)c2)CSC3)c1,1770.0,nM,IC50,5.75,Brugia malayi,organism-based format,True
CHEMBL2093170,O=C(CSc1nnc(NC(=O)C2CCCCC2)s1)Nc1ccccc1C(F)(F)F,3580.0,nM,IC50,5.45,Brugia malayi,organism-based format,True
CHEMBL2093172,O=C(CSc1nnc(NC(=O)C23CC4CC(CC(C4)C2)C3)s1)Nc1nccs1,6300.0,nM,IC50,5.20,Brugia malayi,organism-based format,True
CHEMBL2093173,COc1cccc(C(=O)Nc2nnc(SCc3ccc(Br)cc3)s2)c1,1770.0,nM,IC50,5.75,Brugia malayi,organism-based format,True
CHEMBL2093181,CC(C)N1CCc2c(sc(NC(=O)c3cc4c(ccc5ccccc54)oc3=O)c2C(N)=O)C1,530.0,nM,IC50,6.28,Brugia malayi,organism-based format,True
CHEMBL2093185,O=C(Nc1nccs1)c1ccc2c(c1)CCCC2,5185.0,nM,IC50,5.29,Brugia malayi,organism-based format,True
CHEMBL2093186,O=C(Nc1nc(-c2ccccn2)cs1)c1ccc2c(c1)CCCC2,1906.0,nM,IC50,5.72,Brugia malayi,organism-based format,True
CHEMBL2093187,O=C(Nc1nc(-c2ccccn2)cs1)c1ccc2ncsc2c1,2016.0,nM,IC50,5.70,Brugia malayi,organism-based format,True
