molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label,passes_lipinski
CHEMBL4863477,Cc1nc2c3cc(-c4ccncc4C)c(Cl)cc3[nH]c(=O)n2n1,53000.0,nM,IC50,4.28,Hepatitis A virus cellular receptor 2,assay format,True
CHEMBL4873816,Cc1nc2c3cc(-c4ccc(NS(C)(=O)=O)cc4Cl)c(Cl)cc3[nH]c(=O)n2n1,5800.0,nM,IC50,5.24,Hepatitis A virus cellular receptor 2,assay format,True
CHEMBL4170023,COc1ccc(NS(=O)(=O)c2cccc(C(F)(F)F)c2)c(C(=O)Nc2ccc(Cl)cc2)c1,1500.0,nM,IC50,5.82,Sodium-dependent phosphate transporter 1,cell-based format,True
CHEMBL4172584,Cc1cc2nc(C(F)(F)F)c(C#N)c(N3CCC(Nc4ccccn4)CC3)c2[nH]1,14000.0,nM,IC50,,Sodium-dependent phosphate transporter 1,cell-based format,True
CHEMBL4164691,Cc1cc2nc(C(F)(F)F)c(C#N)c(N3CCC4(CCNC4=O)CC3)c2[nH]1,25000.0,nM,IC50,,Sodium-dependent phosphate transporter 1,cell-based format,True
CHEMBL4172179,N#Cc1c(C(F)(F)F)nc2cc[nH]c2c1N1CCC2(CCNC2=O)CC1,25000.0,nM,IC50,,Sodium-dependent phosphate transporter 1,cell-based format,True
CHEMBL4161567,Cc1[nH]c2c(N3CCC4(CCNC4=O)CC3)c(C#N)c(C(F)(F)F)nc2c1Cl,25000.0,nM,IC50,,Sodium-dependent phosphate transporter 1,cell-based format,True
CHEMBL4168827,Cc1[nH]c2c(N3CCC4(CCN(C)C4=O)CC3)c(C#N)c(C(F)(F)F)nc2c1Cl,60000.0,nM,IC50,,Sodium-dependent phosphate transporter 1,cell-based format,True
CHEMBL4176684,Cc1[nH]c2c(N3CCC(O)CC3)c(C#N)c(C(F)(F)F)nc2c1Cl,25000.0,nM,IC50,,Sodium-dependent phosphate transporter 1,cell-based format,True
CHEMBL4160507,Cc1[nH]c2c(N3CCC(N)CC3)c(C#N)c(C(F)(F)F)nc2c1Cl,25000.0,nM,IC50,,Sodium-dependent phosphate transporter 1,cell-based format,True
CHEMBL4168403,Cc1[nH]c2c(N3CCC(N)(C(N)=O)CC3)c(C#N)c(C(F)(F)F)nc2c1Cl,25000.0,nM,IC50,,Sodium-dependent phosphate transporter 1,cell-based format,True
CHEMBL4175607,Cc1[nH]c2c(N3CCO[C@H](CO)C3)c(C#N)c(C(F)(F)F)nc2c1Cl,24000.0,nM,IC50,,Sodium-dependent phosphate transporter 1,cell-based format,True
CHEMBL4164986,Cc1[nH]c2c(N3CCO[C@@H](CO)C3)c(C#N)c(C(F)(F)F)nc2c1Cl,24000.0,nM,IC50,,Sodium-dependent phosphate transporter 1,cell-based format,True
CHEMBL339462,CCc1nc(Cl)ncc1C(=O)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,300.0,nM,IC50,6.52,Proto-oncogene c-JUN,cell-based format,True
CHEMBL128708,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1nnc(Cl)cc1C(F)(F)F,10000.0,nM,IC50,5.00,Proto-oncogene c-JUN,cell-based format,True
CHEMBL128598,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cnc(-c2ccccc2)nc1,10000.0,nM,IC50,,Proto-oncogene c-JUN,cell-based format,True
CHEMBL340410,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cnc(Cl)cn1,4000.0,nM,IC50,5.40,Proto-oncogene c-JUN,cell-based format,True
CHEMBL131246,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(C(F)(F)F)nc(Cl)n1,10000.0,nM,IC50,,Proto-oncogene c-JUN,cell-based format,True
