molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label,passes_lipinski
CHEMBL20694,O=C1c2ccccc2C(=O)N1CCCCCn1c(C2CCNCC2)nc2cc(Cl)c(Cl)cc21,25000.0,nM,IC50,4.60,Bacteria,organism-based format,True
CHEMBL4452346,COC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)C1CCCCC1,3300.0,nM,IC50,5.48,Formyl peptide receptor 1,single protein format,True
CHEMBL4538076,COC(=O)[C@@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)c1ccccc1,120.0,nM,IC50,6.92,Formyl peptide receptor 1,single protein format,True
CHEMBL4556626,COC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)c1ccccc1,450.0,nM,IC50,6.35,Formyl peptide receptor 1,cell-based format,True
CHEMBL4465341,COC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)c1ccccc1,16500.0,nM,IC50,4.78,Formyl peptide receptor 1,cell-based format,True
CHEMBL4547265,COC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)OC(C)(C)C,12600.0,nM,IC50,4.90,Formyl peptide receptor 1,single protein format,True
CHEMBL4455225,COC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)c1ccccc1,14500.0,nM,IC50,4.84,Formyl peptide receptor 1,single protein format,True
CHEMBL4463562,COC(=O)[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)c1ccccc1)C(C)C,25300.0,nM,IC50,4.60,Formyl peptide receptor 1,single protein format,True
CHEMBL4444320,COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)c1ccccc1,5800.0,nM,IC50,5.24,Formyl peptide receptor 1,cell-based format,True
CHEMBL4444413,COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)c1ccccc1,37400.0,nM,IC50,4.43,Formyl peptide receptor 1,cell-based format,True
CHEMBL4543372,COC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CC(C)C,27700.0,nM,IC50,4.56,Formyl peptide receptor 1,single protein format,True
CHEMBL5176452,N#Cc1ccc(C[C@@H](NC(=O)Nc2ccc(F)cc2)C(=O)NC2CCCCNC2=O)cc1,40400.0,nM,IC50,4.39,Formyl peptide receptor 1,cell-based format,True
CHEMBL5196771,N#Cc1ccc(C[C@H](NC(=O)Nc2ccc(F)cc2)C(=O)NC2CCCCNC2=O)cc1,3500.0,nM,IC50,5.46,Formyl peptide receptor 1,cell-based format,True
CHEMBL5188537,N#Cc1ccc(C[C@@H](NC(=O)Nc2ccc(F)cc2)C(=O)N2CCCCC2)cc1,30500.0,nM,IC50,4.52,Formyl peptide receptor 1,cell-based format,True
