molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label,passes_lipinski
CHEMBL55641,FC(F)(F)c1nc2ccccc2[nH]1,107.0,nM,IC50,6.97,Giardia intestinalis,organism-based format,True
CHEMBL53788,FC(F)(F)c1nc2cc(Cl)ccc2[nH]1,1282.0,nM,IC50,5.89,Giardia intestinalis,organism-based format,True
CHEMBL137,Cc1ncc([N+](=O)[O-])n1CCO,1220.0,nM,IC50,5.91,Giardia intestinalis,organism-based format,True
CHEMBL56473,Cn1c(C(F)(F)F)nc2cc(Cl)ccc21,42.0,nM,IC50,7.38,Giardia intestinalis,organism-based format,True
CHEMBL293520,Cn1c(C(F)(F)F)nc2ccccc21,64.0,nM,IC50,7.19,Giardia intestinalis,organism-based format,True
CHEMBL56234,FC(F)(F)c1nc2cc(Cl)c(Cl)cc2[nH]1,78.0,nM,IC50,7.11,Giardia intestinalis,organism-based format,True
CHEMBL56179,Cn1c(C(F)(F)F)nc2ccc(Cl)cc21,127.0,nM,IC50,6.90,Giardia intestinalis,organism-based format,True
CHEMBL54544,Cn1c(C(F)(F)F)nc2cc(Cl)c(Cl)cc21,260.0,nM,IC50,6.58,Giardia intestinalis,organism-based format,True
CHEMBL1483,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,37.0,nM,IC50,7.43,Giardia intestinalis,organism-based format,True
CHEMBL116674,CCC/N=C(\S)N/N=C/c1ccc([N+](=O)[O-])s1,57260.0,nM,IC50,4.24,Giardia intestinalis,organism-based format,True
CHEMBL116244,O=[N+]([O-])c1ccc(/C=N/N=C(\S)NC2CCCCC2)s1,13900.0,nM,IC50,4.86,Giardia intestinalis,organism-based format,True
CHEMBL326359,CC(C)/N=C(\S)N/N=C/c1ccc([N+](=O)[O-])s1,26190.0,nM,IC50,4.58,Giardia intestinalis,organism-based format,True
CHEMBL116138,CCCC/N=C(\S)N/N=C/c1ccc([N+](=O)[O-])s1,17190.0,nM,IC50,4.76,Giardia intestinalis,organism-based format,True
CHEMBL117124,CCCN(CCC)/C(S)=N/N=C/c1ccc([N+](=O)[O-])s1,8200.0,nM,IC50,5.09,Giardia intestinalis,organism-based format,True
CHEMBL116141,CCC(C)N(/C(S)=N/N=C/c1ccc([N+](=O)[O-])s1)C(C)CC,12010.0,nM,IC50,4.92,Giardia intestinalis,organism-based format,True
CHEMBL323864,CN(/C(S)=N/N=C/c1ccc([N+](=O)[O-])s1)C1CCCCC1,11720.0,nM,IC50,4.93,Giardia intestinalis,organism-based format,True
CHEMBL116243,O=[N+]([O-])c1ccc(/C=N/N=C(\S)N2CCCCCC2)s1,8470.0,nM,IC50,5.07,Giardia intestinalis,organism-based format,True
CHEMBL325000,CCC(C)/N=C(\S)N/N=C/c1ccc([N+](=O)[O-])s1,33330.0,nM,IC50,4.48,Giardia intestinalis,organism-based format,True
CHEMBL324374,CCN(CC)/C(S)=N/N=C/c1ccc([N+](=O)[O-])s1,8030.0,nM,IC50,5.09,Giardia intestinalis,organism-based format,True
CHEMBL332475,O=[N+]([O-])c1ccc(/C=N/N=C(\S)NC2CCCC2)s1,32990.0,nM,IC50,4.48,Giardia intestinalis,organism-based format,True
CHEMBL557158,Cl.c1cc(-c2ccc(-c3ccc(C4=NCCN4)cc3)o2)ccc1C1=NCCN1,1950.0,nM,IC50,5.71,Giardia intestinalis,organism-based format,True
CHEMBL173975,Cl.Cl.c1cc(-c2ccc(-c3ccc(C4=NCCCN4)cc3)o2)ccc1C1=NCCCN1,85.0,nM,IC50,7.07,Giardia intestinalis,organism-based format,True
CHEMBL170751,Cl.Cl.c1cc(-c2ccc(-c3ccc(C4=NCCCCN4)cc3)o2)ccc1C1=NCCCCN1,930.0,nM,IC50,6.03,Giardia intestinalis,organism-based format,True
CHEMBL367883,N[C+](N)c1ccc(-c2ccc(-c3ccc([C+](N)N)cc3)o2)cc1.[Cl-].[Cl-],440.0,nM,IC50,6.36,Giardia intestinalis,organism-based format,True
CHEMBL171707,CCN1CCN=C1c1ccc(-c2ccc(-c3ccc(C4=NCCN4CC)cc3)o2)cc1.Cl.Cl,3300.0,nM,IC50,5.48,Giardia intestinalis,organism-based format,True
CHEMBL269158,Nc1nc2ccc(Cl)cc2[nH]1,30.0,nM,IC50,7.52,Giardia intestinalis,organism-based format,True
CHEMBL71855,Cc1nc2cc(Cl)c(Cl)cc2[nH]1,65.0,nM,IC50,7.19,Giardia intestinalis,organism-based format,True
CHEMBL71807,COC(=O)Nc1nc2cc(Cl)c(Cl)cc2[nH]1,127.0,nM,IC50,6.90,Giardia intestinalis,organism-based format,True
CHEMBL306226,c1ccc2[nH]cnc2c1,8.0,nM,IC50,8.10,Giardia intestinalis,organism-based format,True
CHEMBL303252,Clc1cc2nc[nH]c2cc1Cl,358.0,nM,IC50,6.45,Giardia intestinalis,organism-based format,True
CHEMBL69098,Clc1ccc2[nH]cnc2c1,282.0,nM,IC50,6.55,Giardia intestinalis,organism-based format,True
CHEMBL72244,Cc1nc2cc(Cl)ccc2[nH]1,156.0,nM,IC50,6.81,Giardia intestinalis,organism-based format,True
CHEMBL72355,CSc1nc2ccccc2[nH]1,45.0,nM,IC50,7.35,Giardia intestinalis,organism-based format,True
CHEMBL69086,Sc1nc2cc(Cl)ccc2[nH]1,81.0,nM,IC50,7.09,Giardia intestinalis,organism-based format,True
CHEMBL71880,COC(=O)Nc1nc2cc(Cl)ccc2[nH]1,66.0,nM,IC50,7.18,Giardia intestinalis,organism-based format,True
CHEMBL71905,Nc1nc2cc(Cl)c(Cl)cc2[nH]1,218.0,nM,IC50,6.66,Giardia intestinalis,organism-based format,True
CHEMBL309135,Cc1nc2ccccc2[nH]1,317.0,nM,IC50,6.50,Giardia intestinalis,organism-based format,True
CHEMBL71706,Sc1nc2cc(Cl)c(Cl)cc2[nH]1,78.0,nM,IC50,7.11,Giardia intestinalis,organism-based format,True
CHEMBL70141,Sc1nc2ccccc2[nH]1,40.0,nM,IC50,7.40,Giardia intestinalis,organism-based format,True
CHEMBL71936,CSc1nc2cc(Cl)ccc2[nH]1,5.0,nM,IC50,8.30,Giardia intestinalis,organism-based format,True
CHEMBL305513,Nc1nc2ccccc2[nH]1,1902.0,nM,IC50,5.72,Giardia intestinalis,organism-based format,True
CHEMBL67822,CSc1nc2cc(Cl)c(Cl)cc2[nH]1,227.0,nM,IC50,6.64,Giardia intestinalis,organism-based format,True
CHEMBL70971,COC(=O)Nc1nc2ccccc2[nH]1,57.0,nM,IC50,7.24,Giardia intestinalis,organism-based format,True
CHEMBL390961,CC1(C)C[C@H]2C3=CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C)C[C@@H]1O,27400.0,nM,IC50,4.56,Giardia intestinalis,organism-based format,True
CHEMBL432519,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@@H](C)C(=O)C[C@]3(C)CC[C@]12C,740.0,nM,IC50,6.13,Giardia intestinalis,organism-based format,True
CHEMBL54804,COC(=O)[C@]1(C)CC[C@]2(C)CC[C@]3(C)C4=CC=C5C(=CC(=O)C(O)=C5C)[C@]4(C)CC[C@@]3(C)[C@@H]2C1,110.0,nM,IC50,6.96,Giardia intestinalis,organism-based format,True
