molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label,passes_lipinski
CHEMBL221190,COc1cc2c(O)c3c(c(-c4ccc5c(c4)OCO5)c2cc1OC)C(=O)OC3,14400.0,nM,IC50,4.84,Leishmania,organism-based format,True
CHEMBL4870124,CCn1nc2cc(N/C(C)=C3/C(=O)C=C(C)OC3=O)ccc2c1Cl,2480.0,nM,IC50,5.61,Leishmania,organism-based format,True
CHEMBL121345,O=C(/C=C/c1ccc2ccccc2n1)N1CCCCC1,16000.0,nM,IC50,4.80,Leishmania infantum,organism-based format,True
CHEMBL121001,COc1ccc(/C=C/c2ccc3ccccc3n2)cc1OC,22000.0,nM,IC50,4.66,Leishmania infantum,organism-based format,True
CHEMBL538157,O=C/C=C/c1ccc2ccccc2n1,2000.0,nM,IC50,5.70,Leishmania infantum,organism-based format,True
CHEMBL121196,O=C(/C=C/c1ccc2ccccc2n1)N1CCOCC1,18000.0,nM,IC50,4.75,Leishmania infantum,organism-based format,True
CHEMBL120356,Br/C=C/c1ccc2ccccc2n1,2000.0,nM,IC50,5.70,Leishmania infantum,organism-based format,True
CHEMBL389038,C/C=C/c1nc2ccccc2n2cccc12,700.0,nM,IC50,6.16,Leishmania infantum,organism-based format,True
CHEMBL224378,C/C=C/c1ccc2ccccc2n1,7000.0,nM,IC50,5.16,Leishmania infantum,organism-based format,True
CHEMBL390988,CCCCC#Cc1nc2cc(OC)ccc2n2cccc12,7000.0,nM,IC50,5.16,Leishmania infantum,organism-based format,True
CHEMBL223123,CCCCC#Cc1nc2ccccc2n2cccc12,25000.0,nM,IC50,4.60,Leishmania infantum,organism-based format,True
CHEMBL374957,C=Cc1nc2ccccc2n2cccc12,500.0,nM,IC50,6.30,Leishmania infantum,organism-based format,True
CHEMBL224638,C/C=C\c1nc2ccccc2n2cccc12,800.0,nM,IC50,6.10,Leishmania infantum,organism-based format,True
CHEMBL224115,COc1ccc2c(c1)nc(/C=C/c1ccccc1)c1cccn12,5000.0,nM,IC50,5.30,Leishmania infantum,organism-based format,True
CHEMBL427095,CCC/C=C/c1nc2ccc(OC)cc2n2cccc12,2500.0,nM,IC50,5.60,Leishmania infantum,organism-based format,True
CHEMBL225145,CCC/C=C/c1nc2cc(OC)ccc2n2cccc12,1000.0,nM,IC50,6.00,Leishmania infantum,organism-based format,True
CHEMBL223401,CCC/C=C/c1nc2ccccc2n2cccc12,7000.0,nM,IC50,5.16,Leishmania infantum,organism-based format,True
CHEMBL224861,C/C=C/c1nc2ccc(OC)cc2n2cccc12,500.0,nM,IC50,6.30,Leishmania infantum,organism-based format,True
CHEMBL224860,C/C=C/c1nc2cc(OC)ccc2n2cccc12,2000.0,nM,IC50,5.70,Leishmania infantum,organism-based format,True
CHEMBL243903,CC(=O)Nc1ccc2cc3ccc(N)cc3nc2c1,90800.0,nM,IC50,4.04,Leishmania infantum,organism-based format,True
CHEMBL55400,Nc1ccc2cc3ccc(N)cc3nc2c1,1300.0,nM,IC50,5.89,Leishmania infantum,organism-based format,True
CHEMBL244123,COc1ccc(C(=O)Nc2ccc3cc4ccc(NC(C)=O)cc4nc3c2)cc1,86900.0,nM,IC50,4.06,Leishmania infantum,organism-based format,True
