molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label,passes_lipinski
CHEMBL4059696,CC(C)=C[C@H](O)C[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3[C@@H](O)C=C4[C@@H](CC[C@H](O)C4(C)C)[C@@]3(C=O)CC[C@]12C,30000.0,nM,IC50,4.52,Caenorhabditis elegans,assay format,True
CHEMBL289191,C=C(C)[C@@H]1CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,5000.0,nM,IC50,5.30,Caenorhabditis elegans,assay format,True
CHEMBL169,C[C@H]1[C@H](C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12,50000.0,nM,IC50,4.30,Caenorhabditis elegans,assay format,True
CHEMBL2093165,O=C(COc1ccc(Cl)cc1Cl)Nc1nnc(C23CC4CC(CC(C4)C2)C3)s1,1490.0,nM,IC50,5.83,Brugia malayi,organism-based format,True
CHEMBL2093167,O=C(O)CCC(=O)Nc1ccc(Br)cc1,6600.0,nM,IC50,5.18,Brugia malayi,organism-based format,True
CHEMBL2093168,Cc1cccc(-n2nc3c(c2NC(=O)Nc2cccc(Cl)c2)CSC3)c1,1770.0,nM,IC50,5.75,Brugia malayi,organism-based format,True
CHEMBL2093170,O=C(CSc1nnc(NC(=O)C2CCCCC2)s1)Nc1ccccc1C(F)(F)F,3580.0,nM,IC50,5.45,Brugia malayi,organism-based format,True
CHEMBL2093172,O=C(CSc1nnc(NC(=O)C23CC4CC(CC(C4)C2)C3)s1)Nc1nccs1,6300.0,nM,IC50,5.20,Brugia malayi,organism-based format,True
CHEMBL2093173,COc1cccc(C(=O)Nc2nnc(SCc3ccc(Br)cc3)s2)c1,1770.0,nM,IC50,5.75,Brugia malayi,organism-based format,True
CHEMBL2093181,CC(C)N1CCc2c(sc(NC(=O)c3cc4c(ccc5ccccc54)oc3=O)c2C(N)=O)C1,530.0,nM,IC50,6.28,Brugia malayi,organism-based format,True
CHEMBL2093185,O=C(Nc1nccs1)c1ccc2c(c1)CCCC2,5185.0,nM,IC50,5.29,Brugia malayi,organism-based format,True
CHEMBL2093186,O=C(Nc1nc(-c2ccccn2)cs1)c1ccc2c(c1)CCCC2,1906.0,nM,IC50,5.72,Brugia malayi,organism-based format,True
CHEMBL2093187,O=C(Nc1nc(-c2ccccn2)cs1)c1ccc2ncsc2c1,2016.0,nM,IC50,5.70,Brugia malayi,organism-based format,True
CHEMBL2093191,COC(=O)c1ccc(COc2cccc3c2CCN(Cc2ccc(Cl)cc2)C3=O)o1,4608.0,nM,IC50,5.34,Brugia malayi,organism-based format,True
CHEMBL2093192,COc1cccc2c1CCN(Cc1ccc(Cl)cc1)C2=O,3540.0,nM,IC50,5.45,Brugia malayi,organism-based format,True
CHEMBL2093193,O=C(COc1cccc2c1CCN(Cc1ccccc1F)C2=O)N1CCC(Cc2ccccc2)CC1,5185.0,nM,IC50,5.29,Brugia malayi,organism-based format,True
CHEMBL2093195,CCOC(=O)c1ccc(NC(=O)CSc2c(C)[nH]c3ccccc23)cc1,6050.0,nM,IC50,5.22,Brugia malayi,organism-based format,True
CHEMBL2093198,Cc1[nH]c2ccccc2c1SCCNC(=O)c1c(-c2ccccc2Cl)noc1C,4486.0,nM,IC50,5.35,Brugia malayi,organism-based format,True
CHEMBL2093199,COc1ccccc1C(=O)NCCSc1c(-c2ccccc2)[nH]c2ccccc12,4608.0,nM,IC50,5.34,Brugia malayi,organism-based format,True
