molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label,passes_lipinski
CHEMBL77052,C[C@H]1[C@@H](OCCC2ON2C(=O)c2ccccc2O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,4.25,nM,IC50,8.37,Plasmodium falciparum,organism-based format,True
CHEMBL307145,Oc1cccc(O)c1O,5660.0,nM,IC50,5.25,Plasmodium falciparum,organism-based format,True
CHEMBL16300,O=C(NO)c1ccccc1,17600.0,nM,IC50,4.75,Plasmodium falciparum,organism-based format,True
CHEMBL307153,C[C@H]1[C@@H](OCCCOc2coc(CO)cc2=O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,9.55,nM,IC50,8.02,Plasmodium falciparum,organism-based format,True
CHEMBL339049,CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)cc(-c2ccc(Cl)cc2)c1O,18.0,nM,IC50,7.75,Plasmodium falciparum,organism-based format,True
CHEMBL316098,CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,1.47,nM,IC50,8.83,Plasmodium falciparum,organism-based format,True
CHEMBL93286,CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)cc(C2CCCCC2)c1O,6.8,nM,IC50,8.17,Plasmodium falciparum,organism-based format,True
CHEMBL305899,C[C@H]1[C@@H](OCCCOc2c(O)cccc2O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,7.67,nM,IC50,8.12,Plasmodium falciparum,organism-based format,True
CHEMBL337981,CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)cc(-c2ccc(Cl)cc2)c1F,58.0,nM,IC50,7.24,Plasmodium falciparum,organism-based format,True
CHEMBL252518,C[C@H]1[C@@H](O)O[C@@H]2O[C@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,1.1,nM,IC50,8.96,Plasmodium falciparum,organism-based format,True
CHEMBL306763,C[C@H]1[C@@H](OCCCBr)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,3.68,nM,IC50,8.43,Plasmodium falciparum,organism-based format,True
CHEMBL327539,CCc1cc(Nc2ccnc3cc(Cl)ccc23)cc(CNC(C)(C)C)c1O,2.97,nM,IC50,8.53,Plasmodium falciparum,organism-based format,True
CHEMBL77491,C[C@H]1[C@@H](OCCCONC(=O)c2ccccc2O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,52.45,nM,IC50,7.28,Plasmodium falciparum,organism-based format,True
CHEMBL92652,Cc1cc(Nc2ccnc3cc(Cl)ccc23)cc(CNC(C)(C)C)c1O,2.99,nM,IC50,8.52,Plasmodium falciparum,organism-based format,True
CHEMBL17001,COC(=O)/C=C/c1ccc(O)c(O)c1,46500.0,nM,IC50,4.33,Plasmodium falciparum,organism-based format,True
CHEMBL567597,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@]32OO4,5.82,nM,IC50,8.23,Plasmodium falciparum,organism-based format,True
CHEMBL96500,CCCc1cc(Nc2ccnc3cc(Cl)ccc23)cc(CNC(C)(C)C)c1O,0.98,nM,IC50,9.01,Plasmodium falciparum,organism-based format,True
CHEMBL307138,C[C@H]1[C@@H](OCCCONC(=O)c2ccccc2)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,23.64,nM,IC50,7.63,Plasmodium falciparum,organism-based format,True
CHEMBL76,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,250.0,nM,IC50,6.60,Plasmodium falciparum,organism-based format,True
CHEMBL33458,CCOc1ccc(C(=O)/C=C/c2ccccc2)cc1,43000.0,nM,IC50,4.37,Plasmodium falciparum,organism-based format,True
CHEMBL276473,O=C(/C=C/c1ccccc1)c1ccc(O)cc1,29600.0,nM,IC50,4.53,Plasmodium falciparum,organism-based format,True
CHEMBL77931,C[C@H]1[C@@H](OCCCOc2cccc(O)c2O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,12.7,nM,IC50,7.90,Plasmodium falciparum,organism-based format,True
CHEMBL74084,CCN(CC)C(=S)SCCCO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3,7.65,nM,IC50,8.12,Plasmodium falciparum,organism-based format,True
CHEMBL328154,CC(C)c1cc(Nc2ccnc3cc(Cl)ccc23)cc(CNC(C)(C)C)c1O,1.24,nM,IC50,8.91,Plasmodium falciparum,organism-based format,True
CHEMBL330342,CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)cc(C(C)(C)C)c1O,8.35,nM,IC50,8.08,Plasmodium falciparum,organism-based format,True
CHEMBL33298,COc1ccc(C(=O)/C=C/c2ccccc2)c(OC)c1OC,15800.0,nM,IC50,4.80,Plasmodium falciparum,organism-based format,True
CHEMBL76817,C[C@H]1[C@@H](OCCC2Oc3cccc(O)c3O2)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,6.64,nM,IC50,8.18,Plasmodium falciparum,organism-based format,True
CHEMBL73090,COc1ccc(C(=O)/C=C/c2ccccc2)c(OC)c1,55500.0,nM,IC50,4.26,Plasmodium falciparum,organism-based format,True
CHEMBL1630,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O.Cl,2.47,nM,IC50,8.61,Plasmodium falciparum,organism-based format,True
CHEMBL328331,CCC(C)c1cc(Nc2ccnc3cc(Cl)ccc23)cc(CNC(C)(C)C)c1O,1.97,nM,IC50,8.71,Plasmodium falciparum,organism-based format,True
CHEMBL176108,CNS(=O)(=O)c1ccc(NC(=O)Nc2cccc(C(=N)N)c2)cc1,3000.0,nM,IC50,5.52,Plasmodium falciparum,organism-based format,True
CHEMBL175846,N=C(N)c1cccc(NC(=O)Nc2ccc(S(=O)(=O)Nc3ccc4ccccc4c3)cc2)c1,8200.0,nM,IC50,5.09,Plasmodium falciparum,organism-based format,True
CHEMBL174908,N=C(N)c1cccc(NC(=O)Nc2ccc(S(=O)(=O)NCc3c(F)ccc(F)c3F)cc2)c1,17.0,nM,IC50,7.77,Plasmodium falciparum,organism-based format,True
CHEMBL360908,N=C(N)c1cccc(NC(=O)Nc2ccc(S(=O)(=O)NCc3cc(F)c(F)cc3F)cc2)c1,1800.0,nM,IC50,5.75,Plasmodium falciparum,organism-based format,True
CHEMBL82918,COc1ccc(COC2(C)CCC3CC2OO[C@@]3(C)CS(=O)(=O)c2ccccc2)cc1,14.0,nM,IC50,7.85,Plasmodium falciparum,organism-based format,True
CHEMBL369068,N=C(N)c1cccc(NC(=O)Nc2ccc(S(=O)(=O)NCc3cccc(F)c3)cc2)c1,500.0,nM,IC50,6.30,Plasmodium falciparum,organism-based format,True
CHEMBL278291,C[C@@H]1CCCCC12OOC1(CCCC[C@@H]1C)OO2,6.9,nM,IC50,8.16,Plasmodium falciparum,organism-based format,True
CHEMBL588619,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccccc12,220.0,nM,IC50,6.66,Plasmodium falciparum,organism-based format,True
CHEMBL93291,CC1CCC2(CC1)OOC1(CCC(C)CC1)OO2,8.2,nM,IC50,8.09,Plasmodium falciparum,organism-based format,True
CHEMBL84824,CC1(O)CCC2CC1OO[C@@]2(C)CS(=O)(=O)c1ccccc1,55.0,nM,IC50,7.26,Plasmodium falciparum,organism-based format,True
CHEMBL176822,N=C(N)c1cccc(NC(=O)Nc2ccc(S(=O)(=O)N3CCc4ccccc4C3)cc2)c1,610.0,nM,IC50,6.21,Plasmodium falciparum,organism-based format,True
CHEMBL82507,CC(=O)OC1(C)CCC2CC1OO[C@@]2(C)CS(=O)(=O)c1ccccc1,17.0,nM,IC50,7.77,Plasmodium falciparum,organism-based format,True
CHEMBL96830,CC1CC(C)CC2(C1)OOC1(CC(C)CC(C)C1)OO2,50.0,nM,IC50,7.30,Plasmodium falciparum,organism-based format,True
CHEMBL175588,N=C(N)c1ccc(NC(=O)Nc2ccc(S(=O)(=O)NCc3c(F)ccc(F)c3F)cc2)cc1,210.0,nM,IC50,6.68,Plasmodium falciparum,organism-based format,True
CHEMBL170,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,370.0,nM,IC50,6.43,Plasmodium falciparum,organism-based format,True
CHEMBL175959,N=C(N)c1cccc(NC(=O)Nc2ccc(S(=O)(=O)NCc3ccc(F)c(F)c3)cc2)c1,1110.0,nM,IC50,5.96,Plasmodium falciparum,organism-based format,True
CHEMBL85002,CC(=O)OC1(C)CCC2CC1OO[C@]2(C)CS(=O)(=O)c1ccccc1,17.0,nM,IC50,7.77,Plasmodium falciparum,organism-based format,True
CHEMBL88052,CCOC(=O)C(=O)OC1(C)CCC2CC1OO[C@@]2(C)CS(=O)(=O)c1ccccc1,170.0,nM,IC50,6.77,Plasmodium falciparum,organism-based format,True
CHEMBL425503,N=C(N)c1cccc(NC(=O)Nc2ccc(S(=O)(=O)NCc3ccc(F)cc3)cc2)c1,320.0,nM,IC50,6.50,Plasmodium falciparum,organism-based format,True
CHEMBL177699,N=C(N)c1cccc(NC(=O)Nc2ccc(S(=O)(=O)NCc3ccccc3)cc2)c1,450.0,nM,IC50,6.35,Plasmodium falciparum,organism-based format,True
CHEMBL431991,CC(=O)CC(=O)OC1(C)CCC2CC1OO[C@]2(C)CS(=O)(=O)c1ccccc1,73.0,nM,IC50,7.14,Plasmodium falciparum,organism-based format,True
CHEMBL174960,N=C(N)c1ccc(NC(=O)Nc2cccc(S(=O)(=O)NCc3c(F)ccc(F)c3F)c2)cc1,190.0,nM,IC50,6.72,Plasmodium falciparum,organism-based format,True
CHEMBL380230,C[C@@H]1C(=O)C[C@H]2C[C@@H]1OO[C@@]2(C)/C=C\c1ccc(C(F)(F)F)cc1C(F)(F)F,71.0,nM,IC50,7.15,Plasmodium falciparum,organism-based format,True
CHEMBL1294,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,160.0,nM,IC50,6.80,Plasmodium falciparum,organism-based format,True
CHEMBL174742,N=C(N)c1cccc(NC(=O)Nc2ccc(S(=O)(=O)Nc3ccccc3)cc2)c1,9000.0,nM,IC50,5.05,Plasmodium falciparum,organism-based format,True
CHEMBL177263,N=C(N)c1ccc(NC(=O)Nc2ccc(S(=O)(=O)NCc3ccccc3)cc2)cc1,400.0,nM,IC50,6.40,Plasmodium falciparum,organism-based format,True
CHEMBL174446,N=C(N)c1ccc(NC(=O)Nc2cccc(S(=O)(=O)NCc3ccccc3)c2)cc1,410.0,nM,IC50,6.39,Plasmodium falciparum,organism-based format,True
CHEMBL533841,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccccc12,380.0,nM,IC50,6.42,Plasmodium falciparum,organism-based format,True
CHEMBL309252,CCOC(=O)C(=O)OC1(C)CCC2CC1OO[C@]2(C)CS(=O)(=O)c1ccccc1,140.0,nM,IC50,6.85,Plasmodium falciparum,organism-based format,True
CHEMBL174393,CCCCNS(=O)(=O)c1ccc(NC(=O)Nc2cccc(C(=N)N)c2)cc1,3900.0,nM,IC50,5.41,Plasmodium falciparum,organism-based format,True
CHEMBL176406,N=C(N)c1cccc(NC(=O)Nc2ccc(S(=O)(=O)NCc3ccccc3F)cc2)c1,620.0,nM,IC50,6.21,Plasmodium falciparum,organism-based format,True
CHEMBL177923,N=C(N)c1cccc(NC(=O)Nc2ccc(S(=O)(=O)NCc3ccc(F)cc3F)cc2)c1,1110.0,nM,IC50,5.96,Plasmodium falciparum,organism-based format,True
CHEMBL176227,N=C(N)c1cccc(NC(=O)Nc2cccc(S(=O)(=O)NCc3ccccc3)c2)c1,6200.0,nM,IC50,5.21,Plasmodium falciparum,organism-based format,True
CHEMBL86069,CC(=O)CC(=O)OC1(C)CCC2CC1OO[C@@]2(C)CS(=O)(=O)c1ccccc1,46.0,nM,IC50,7.34,Plasmodium falciparum,organism-based format,True
CHEMBL426045,N=C(N)c1cccc(NC(=O)Nc2ccc(S(=O)(=O)Nc3cccc4ccccc34)cc2)c1,17000.0,nM,IC50,4.77,Plasmodium falciparum,organism-based format,True
CHEMBL178028,N=C(N)c1cccc(NC(=O)Nc2cccc(S(=O)(=O)NCc3c(F)ccc(F)c3F)c2)c1,250.0,nM,IC50,6.60,Plasmodium falciparum,organism-based format,True
CHEMBL82620,CC1(O)CCC2CC1OO[C@]2(C)CS(=O)(=O)c1ccccc1,89.0,nM,IC50,7.05,Plasmodium falciparum,organism-based format,True
CHEMBL93307,COc1c(N2C[C@@H]3[C@@H](N)[C@@H]3C2)c(F)cc2c1N(C1CC1)CC(C(=O)O)C2=O,92000.0,nM,IC50,4.04,Plasmodium falciparum,organism-based format,True
CHEMBL71542,COC1(c2ccccc2)C=CC(C)(C)OO1,1100.0,nM,IC50,5.96,Plasmodium falciparum,organism-based format,True
CHEMBL306459,COC1(c2ccc(F)cc2)C=CC2(CCCCCC2)OO1,85.0,nM,IC50,7.07,Plasmodium falciparum,organism-based format,True
CHEMBL68066,COC1(c2ccccc2)C=CC2(CCCCC2)OO1,280.0,nM,IC50,6.55,Plasmodium falciparum,organism-based format,True
CHEMBL69570,COC1(c2ccc(Cl)cc2)C=CC2(CCCCCC2)OO1,58.0,nM,IC50,7.24,Plasmodium falciparum,organism-based format,True
CHEMBL304077,COC1(c2ccc(OC(F)(F)F)cc2)C=CC2(CCCCC2)OO1,140.0,nM,IC50,6.85,Plasmodium falciparum,organism-based format,True
CHEMBL119737,CCCCCC1(OC)CCC(CC(=O)OC)OO1,120.0,nM,IC50,6.92,Plasmodium falciparum,organism-based format,True
CHEMBL71195,COc1cc(C2(OC)C=CC3(CCCCCC3)OO2)cc(OC)c1OC,120.0,nM,IC50,6.92,Plasmodium falciparum,organism-based format,True
CHEMBL315647,COc1c(N2C[C@@H]3[C@@H](CN)[C@@H]3C2)c(F)cc2c1N(c1ccc(F)cc1F)CC(C(=O)O)C2=O,40000.0,nM,IC50,4.40,Plasmodium falciparum,organism-based format,True
CHEMBL307530,CCc1ccc(C2(OC)C=CC3(CCCCCC3)OO2)cc1,180.0,nM,IC50,6.75,Plasmodium falciparum,organism-based format,True
CHEMBL67165,COc1ccc(C2(OC)C=CC3(CCCCCC3)OO2)cc1,210.0,nM,IC50,6.68,Plasmodium falciparum,organism-based format,True
