molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label,passes_lipinski
CHEMBL10835,O=C(Nc1ccc(Cl)c(Cl)c1)Nc1ccc(Cl)c(Cl)c1,4400.0,nM,IC50,5.36,Schistosoma japonicum,organism-based format,True
CHEMBL3769867,O=S(=O)(Nc1ccc(Cl)c(Cl)c1)Nc1ccc(Cl)c(Cl)c1,22600.0,nM,IC50,4.65,Schistosoma japonicum,organism-based format,True
CHEMBL3770521,Clc1ccc(Nc2nc(Nc3ccc(Cl)c(Cl)c3)nc(N3CCOCC3)n2)cc1Cl,19000.0,nM,IC50,4.72,Schistosoma japonicum,organism-based format,True
CHEMBL3769525,O=C(Nc1ccc(F)c(F)c1)Nc1ccc(Cl)c(Cl)c1,4700.0,nM,IC50,5.33,Schistosoma japonicum,organism-based format,True
CHEMBL3770729,O=C(Nc1ccc(Cl)c(Cl)c1)Nc1ccc(Cl)c(C(F)(F)F)c1,2500.0,nM,IC50,5.60,Schistosoma japonicum,organism-based format,True
CHEMBL3770083,N#Cc1cc(NC(=O)Nc2ccc(Cl)c(Cl)c2)ccc1F,4300.0,nM,IC50,5.37,Schistosoma japonicum,organism-based format,True
CHEMBL3771028,O=C(Nc1ccc(Cl)c(Cl)c1)Nc1ccc(N2CCOCC2)c(C(F)(F)F)c1,9600.0,nM,IC50,5.02,Schistosoma japonicum,organism-based format,True
CHEMBL510619,O=C(Nc1cccc(Cl)c1)Nc1ccc(Cl)c(Cl)c1,10100.0,nM,IC50,5.00,Schistosoma japonicum,organism-based format,True
CHEMBL1688054,Cc1ccc(NC(=O)Nc2ccc(Cl)c(Cl)c2)cc1Cl,12700.0,nM,IC50,4.90,Schistosoma japonicum,organism-based format,True
CHEMBL3770583,O=C(Nc1ccc(Cl)c(Cl)c1)Nc1cccc2ccccc12,12800.0,nM,IC50,4.89,Schistosoma japonicum,organism-based format,True
CHEMBL104176,O=C(Nc1ccc(Cl)c(Cl)c1)Nc1cccc2cnccc12,22600.0,nM,IC50,4.65,Schistosoma japonicum,organism-based format,True
CHEMBL3770611,O=C(Nc1ccc(Cl)c(Cl)c1)Nc1cnc(Cl)c(Cl)c1,11300.0,nM,IC50,4.95,Schistosoma japonicum,organism-based format,True
CHEMBL3770138,O=C(Nc1ccc(F)c(F)c1)Nc1ccc(F)c(F)c1,7000.0,nM,IC50,5.16,Schistosoma japonicum,organism-based format,True
CHEMBL530543,O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)Nc1ccc(Cl)c(C(F)(F)F)c1,2800.0,nM,IC50,5.55,Schistosoma japonicum,organism-based format,True
CHEMBL4575794,O=C(O)COc1ccc([C@H]2CC[C@]3(CC2)OOC2(O3)C3CC4CC(C3)CC2C4)cc1,39000.0,nM,IC50,4.41,Schistosoma japonicum,organism-based format,True
CHEMBL2093269,O=C(Nc1cc2ccccc2cc1NC(=O)c1ccc2c(c1)OCCO2)c1ccc2c(c1)OCCO2,8800.0,nM,IC50,5.06,Schistosoma mansoni,organism-based format,True
CHEMBL2093270,CCOC(=O)c1c(NC(=O)C(C)Sc2nnc(NC(C)=O)s2)sc2c1CCCC2,9800.0,nM,IC50,5.01,Schistosoma mansoni,organism-based format,True
CHEMBL2093271,CCOC(=O)N1CCc2c(sc(NC(=O)c3nc4ccccc4s3)c2C(N)=O)C1,6700.0,nM,IC50,5.17,Schistosoma mansoni,organism-based format,True
CHEMBL2093286,CN(CC1CCCO1)S(=O)(=O)c1ccc(C(=O)Nc2cccc(-c3nc4ccccc4o3)c2)cc1,7400.0,nM,IC50,5.13,Schistosoma mansoni,organism-based format,True
CHEMBL2093287,COC(=O)c1sc(-c2ccccc2)cc1NC(=O)CCS(=O)(=O)c1ccccc1,8200.0,nM,IC50,5.09,Schistosoma mansoni,organism-based format,True
CHEMBL2093289,CCN(c1ccccc1)S(=O)(=O)c1ccc(C(=O)Nc2sc3c(c2C(=O)NC)CCCC3)cc1,9900.0,nM,IC50,5.00,Schistosoma mansoni,organism-based format,True
CHEMBL2093291,C=CCN(CC=C)S(=O)(=O)c1ccc(C(=O)Nc2nc3ccc(C(C)C)cc3s2)cc1,5700.0,nM,IC50,5.24,Schistosoma mansoni,organism-based format,True
CHEMBL597670,CCOc1ccc(NC(=O)CSc2nncc(O)n2)cc1,5800.0,nM,IC50,5.24,Schistosoma mansoni,organism-based format,True
CHEMBL2093310,CCc1ccc(NC(=O)c2oc3ccccc3c2NC(=O)Cc2cccs2)cc1,6500.0,nM,IC50,5.19,Schistosoma mansoni,organism-based format,True
CHEMBL2093311,Cc1ccc(NC(=O)c2oc3ccccc3c2NC(=O)CC(c2ccccc2)c2ccccc2)cc1C,6700.0,nM,IC50,5.17,Schistosoma mansoni,organism-based format,True
CHEMBL2093313,CCSc1nnc(NC(=O)CSc2nncc(=O)[nH]2)s1,5200.0,nM,IC50,5.28,Schistosoma mansoni,organism-based format,True
CHEMBL2093314,O=C(CSc1nncc(=O)[nH]1)Nc1ccc(Br)cc1,5200.0,nM,IC50,5.28,Schistosoma mansoni,organism-based format,True
CHEMBL2093315,Cc1ccc(NC(=O)CSc2nncc(=O)[nH]2)cc1Cl,4500.0,nM,IC50,5.35,Schistosoma mansoni,organism-based format,True
CHEMBL2093316,O=C(CSc1nncc(=O)[nH]1)Nc1cc(C(F)(F)F)ccc1Cl,6300.0,nM,IC50,5.20,Schistosoma mansoni,organism-based format,True
CHEMBL2093317,Cc1nc(-c2ccccc2)sc1C(=O)Nc1cccc(-c2cn3c(n2)SCC3)c1,2700.0,nM,IC50,5.57,Schistosoma mansoni,organism-based format,True
CHEMBL1620767,CN(C)CCCN(C(=O)c1cc(-c2cccs2)nc2ccccc12)c1nc2c(F)cccc2s1,4300.0,nM,IC50,5.37,Schistosoma mansoni,organism-based format,True
CHEMBL2093431,CN(C)CCCN(C(=O)/C=C/c1ccccc1Cl)c1nc2cc3c(cc2s1)OCO3,4300.0,nM,IC50,5.37,Schistosoma mansoni,organism-based format,True
CHEMBL2093432,COc1cc(OC)cc(C(=O)N(CCCN(C)C)c2nc3c(C)c(C)ccc3s2)c1,5700.0,nM,IC50,5.24,Schistosoma mansoni,organism-based format,True
CHEMBL1802608,Cn1ncc2c(N3CCOCC3)nc(NCCc3c[nH]c4ccccc34)nc21,3800.0,nM,IC50,5.42,Schistosoma mansoni,organism-based format,True
CHEMBL2093433,COc1ccc(N2CCCS2(=O)=O)cc1NC(=O)c1cc(Cl)ccc1OC,4300.0,nM,IC50,5.37,Schistosoma mansoni,organism-based format,True
CHEMBL2093434,O=C(NCc1nnnn1-c1ccc(Cl)cc1)C1c2ccccc2Oc2ccccc21,6600.0,nM,IC50,5.18,Schistosoma mansoni,organism-based format,True
CHEMBL2093437,CCN(CC)c1cc(C)nc(Nc2ccc(NC(=O)c3c(F)cccc3F)cc2)n1,7400.0,nM,IC50,5.13,Schistosoma mansoni,organism-based format,True
