molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label,passes_lipinski
CHEMBL2111248,C[C@H]1C[C@@H](n2ncc3c(N)ncnc32)[C@H](O)[C@@H]1O,12200.0,nM,IC50,4.91,Trypanosoma brucei,organism-based format,True
CHEMBL2111283,Nc1ncnc2c1cnn2[C@H]1C[C@@H](O)[C@H](O)[C@@H]1O,53000.0,nM,IC50,4.28,Trypanosoma brucei,organism-based format,True
CHEMBL2051757,Nc1ncnc2c1ccn2[C@H]1C[C@@H](O)[C@H](O)[C@@H]1O,850.0,nM,IC50,6.07,Trypanosoma brucei,organism-based format,True
CHEMBL36,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,7000.0,nM,IC50,5.16,Trypanosoma brucei,organism-based format,True
CHEMBL274031,Nc1ncc(Cc2cccc(OCc3ccccc3)c2)c(N)n1,5000.0,nM,IC50,5.30,Trypanosoma brucei,organism-based format,True
CHEMBL343127,CCCOc1cccc(Cc2cnc(N)nc2N)c1,13000.0,nM,IC50,4.89,Trypanosoma brucei,organism-based format,True
CHEMBL31547,CCCCCCOc1cccc(Cc2cnc(N)nc2N)c1,2000.0,nM,IC50,5.70,Trypanosoma brucei,organism-based format,True
CHEMBL334919,CC(C)Oc1cccc(Cc2cnc(N)nc2N)c1,14000.0,nM,IC50,4.85,Trypanosoma brucei,organism-based format,True
CHEMBL31235,CCCCCCCCOc1cccc(Cc2cnc(N)nc2N)c1,2000.0,nM,IC50,5.70,Trypanosoma brucei,organism-based format,True
CHEMBL343271,CCOc1ccc(Cc2cnc(N)nc2N)cc1,24000.0,nM,IC50,4.62,Trypanosoma brucei,organism-based format,True
CHEMBL31946,CCCCOc1cccc(Cc2cnc(N)nc2N)c1,5000.0,nM,IC50,5.30,Trypanosoma brucei,organism-based format,True
CHEMBL137448,CCOc1cccc(Cc2cnc(N)nc2N)c1,21000.0,nM,IC50,4.68,Trypanosoma brucei,organism-based format,True
CHEMBL30734,Nc1ncc(Cc2cccc(O)c2)c(N)n1,78000.0,nM,IC50,4.11,Trypanosoma brucei,organism-based format,True
CHEMBL326989,CCCOc1ccc(Cc2cnc(N)nc2N)cc1,10000.0,nM,IC50,5.00,Trypanosoma brucei,organism-based format,True
CHEMBL138230,CCCCCCCOc1cccc(Cc2c(C)nc(N)nc2N)c1,1000.0,nM,IC50,6.00,Trypanosoma brucei,organism-based format,True
CHEMBL137305,CCCCCOc1cccc(Cc2cnc(N)nc2N)c1,4000.0,nM,IC50,5.40,Trypanosoma brucei,organism-based format,True
CHEMBL285209,CCCCCCCOc1cccc(Cc2cnc(N)nc2N)c1,5000.0,nM,IC50,5.30,Trypanosoma brucei,organism-based format,True
CHEMBL3392183,C[S+](C[C@@H]1O[C@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1O)C1C=CC(ON)C1.[Br-],900.0,nM,IC50,6.05,Trypanosoma brucei,organism-based format,True
CHEMBL3392184,C[S+](C[C@@H]1O[C@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1O)C1C=CC(N)C1.[Br-],5200.0,nM,IC50,5.28,Trypanosoma brucei,organism-based format,True
CHEMBL313792,Nc1nc(N)nc(Nc2ccc([As]=O)cc2)n1,1.0,nM,IC50,9.00,Trypanosoma brucei,organism-based format,True
