molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label,passes_lipinski
CHEMBL4863477,Cc1nc2c3cc(-c4ccncc4C)c(Cl)cc3[nH]c(=O)n2n1,53000.0,nM,IC50,4.28,Hepatitis A virus cellular receptor 2,assay format,True
CHEMBL4873816,Cc1nc2c3cc(-c4ccc(NS(C)(=O)=O)cc4Cl)c(Cl)cc3[nH]c(=O)n2n1,5800.0,nM,IC50,5.24,Hepatitis A virus cellular receptor 2,assay format,True
CHEMBL4170023,COc1ccc(NS(=O)(=O)c2cccc(C(F)(F)F)c2)c(C(=O)Nc2ccc(Cl)cc2)c1,1500.0,nM,IC50,5.82,Sodium-dependent phosphate transporter 1,cell-based format,True
CHEMBL339462,CCc1nc(Cl)ncc1C(=O)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,300.0,nM,IC50,6.52,Proto-oncogene c-JUN,cell-based format,True
CHEMBL128708,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1nnc(Cl)cc1C(F)(F)F,10000.0,nM,IC50,5.00,Proto-oncogene c-JUN,cell-based format,True
CHEMBL340410,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cnc(Cl)cn1,4000.0,nM,IC50,5.40,Proto-oncogene c-JUN,cell-based format,True
CHEMBL262514,CCCc1nc(Cl)ncc1C(=O)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,500.0,nM,IC50,6.30,Proto-oncogene c-JUN,cell-based format,True
CHEMBL423150,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cnc(Cl)nc1-c1ccccc1,400.0,nM,IC50,6.40,Proto-oncogene c-JUN,cell-based format,True
CHEMBL336546,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cnc(Cl)nc1C(F)(F)F,50.0,nM,IC50,7.30,Proto-oncogene c-JUN,cell-based format,True
CHEMBL421280,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cnc(Cl)nc1C(F)(F)C(F)(F)F,600.0,nM,IC50,6.22,Proto-oncogene c-JUN,cell-based format,True
CHEMBL131006,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cnc(F)nc1C(F)(F)F,100.0,nM,IC50,7.00,Proto-oncogene c-JUN,cell-based format,True
CHEMBL340779,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cnc(Cl)nc1Cl,200.0,nM,IC50,6.70,Proto-oncogene c-JUN,cell-based format,True
CHEMBL132495,Cc1nc(Cl)ncc1C(=O)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,20.0,nM,IC50,7.70,Proto-oncogene c-JUN,cell-based format,True
CHEMBL338934,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1ccc(Cl)nn1,1700.0,nM,IC50,5.77,Proto-oncogene c-JUN,cell-based format,True
CHEMBL128599,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cnc(Cl)nc1-c1cccs1,8000.0,nM,IC50,5.10,Proto-oncogene c-JUN,cell-based format,True
CHEMBL337656,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cnc(Cl)nc1,300.0,nM,IC50,6.52,Proto-oncogene c-JUN,cell-based format,True
CHEMBL248370,CCNC(=O)N1CCC(Nc2ncc(C#N)c(-c3c[nH]c4cc(F)ccc34)n2)CC1,3700.0,nM,IC50,5.43,Proto-oncogene c-JUN,cell-based format,True
CHEMBL245936,CCNC(=O)N1CCC(Nc2nccc(-c3c(-c4ccccc4)[nH]c4ccccc34)n2)CC1,3845.0,nM,IC50,5.42,Proto-oncogene c-JUN,cell-based format,True
