molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label,passes_lipinski
CHEMBL1082,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,29410,nM,IC50,4.53,HaCaT,cell-based format,TRUE
CHEMBL777,O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21,4,nM,IC50,8.4,Unchecked,assay format,TRUE
CHEMBL290960,CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1,110,nM,IC50,6.96,Leishmania donovani,organism-based format,TRUE
CHEMBL1631694,CSc1ccc(OCc2ncc([N+](=O)[O-])n2C)cc1,400,nM,IC50,6.4,Trypanosoma brucei brucei,organism-based format,TRUE
CHEMBL110,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,1.8,nM,IC50,8.74,Trypanosoma cruzi,organism-based format,TRUE
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,2.58,nM,IC50,8.59,Carbonic anhydrase IX,single protein format,TRUE
CHEMBL1483,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,37,nM,IC50,7.43,Giardia intestinalis,organism-based format,TRUE
CHEMBL42442,COC(=O)Nc1nc2cc([S+]([O-])c3ccccc3)ccc2[nH]1,1,nM,IC50,9,Unchecked,assay format,TRUE
CHEMBL1503,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,95.5,nM,IC50,7.02,Giardia intestinalis,organism-based format,TRUE
CHEMBL384467,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,0.1,nM,IC50,10,Mus musculus,organism-based format,TRUE
CHEMBL976,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,77,nM,IC50,7.11,Schistosoma mansoni,organism-based format,TRUE
CHEMBL2110737,CCCC(=O)O[C@H]1CN2CC[C@H](O)[C@@H]2[C@@H](O)[C@@H]1O,20000,nM,IC50,,SARS-CoV-2,organism-based format,TRUE
