molecule_chembl_id,canonical_smiles,standard_type,standard_value,target_chembl_id,bioactivity,num_h_donors,num_h_acceptors,mol_weight,num_rotatable_bonds,passes_lipinski
CHEMBL710,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,IC50,911.0,CHEMBL1787,active,2,2,372.55300000000017,1,True
CHEMBL710,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,IC50,1.2,CHEMBL1856,active,2,2,372.55300000000017,1,True
CHEMBL1043,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,IC50,1500.0,CHEMBL1926,intermediate,2,4,248.30700000000002,2,True
CHEMBL1434,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,IC50,2600.0,CHEMBL4785,intermediate,5,9,457.48300000000023,3,True
CHEMBL424,O=C(O)c1ccccc1O,IC50,21000000.0,CHEMBL612558,inactive,2,2,138.12199999999999,1,True
CHEMBL93,CC(c1cc2ccccc2s1)N(O)C(N)=O,IC50,100.0,CHEMBL614772,active,2,3,236.29599999999996,2,True
CHEMBL93,CC(c1cc2ccccc2s1)N(O)C(N)=O,IC50,600.0,CHEMBL372,active,2,3,236.29599999999996,2,True
CHEMBL93,CC(c1cc2ccccc2s1)N(O)C(N)=O,IC50,700.0,CHEMBL372,active,2,3,236.29599999999996,2,True
CHEMBL93,CC(c1cc2ccccc2s1)N(O)C(N)=O,IC50,370.0,CHEMBL312,active,2,3,236.29599999999996,2,True
CHEMBL93,CC(c1cc2ccccc2s1)N(O)C(N)=O,IC50,600.0,CHEMBL312,active,2,3,236.29599999999996,2,True
CHEMBL93,CC(c1cc2ccccc2s1)N(O)C(N)=O,IC50,3300.0,CHEMBL215,intermediate,2,3,236.29599999999996,2,True
CHEMBL93,CC(c1cc2ccccc2s1)N(O)C(N)=O,IC50,140.0,CHEMBL312,active,2,3,236.29599999999996,2,True
CHEMBL93,CC(c1cc2ccccc2s1)N(O)C(N)=O,IC50,1000000.0,CHEMBL3474,inactive,2,3,236.29599999999996,2,True
CHEMBL93,CC(c1cc2ccccc2s1)N(O)C(N)=O,IC50,750000.0,CHEMBL2096674,inactive,2,3,236.29599999999996,2,True
CHEMBL710,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,IC50,218.0,CHEMBL1787,active,2,2,372.55300000000017,1,True
CHEMBL710,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,IC50,8.47,CHEMBL1856,active,2,2,372.55300000000017,1,True
CHEMBL710,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,IC50,,CHEMBL612545,unknown,2,2,372.55300000000017,1,True
CHEMBL710,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,IC50,19.8,CHEMBL1787,active,2,2,372.55300000000017,1,True
CHEMBL710,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,IC50,53000.0,CHEMBL1787,inactive,2,2,372.55300000000017,1,True
CHEMBL710,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,IC50,0.18,CHEMBL1856,active,2,2,372.55300000000017,1,True
CHEMBL93,CC(c1cc2ccccc2s1)N(O)C(N)=O,IC50,1800.0,CHEMBL215,intermediate,2,3,236.29599999999996,2,True
CHEMBL93,CC(c1cc2ccccc2s1)N(O)C(N)=O,IC50,2200.0,CHEMBL215,intermediate,2,3,236.29599999999996,2,True
CHEMBL93,CC(c1cc2ccccc2s1)N(O)C(N)=O,IC50,100000.0,CHEMBL2111358,inactive,2,3,236.29599999999996,2,True
CHEMBL93,CC(c1cc2ccccc2s1)N(O)C(N)=O,IC50,55000.0,CHEMBL3687,inactive,2,3,236.29599999999996,2,True
CHEMBL93,CC(c1cc2ccccc2s1)N(O)C(N)=O,IC50,20000.0,CHEMBL4028,inactive,2,3,236.29599999999996,2,True
CHEMBL93,CC(c1cc2ccccc2s1)N(O)C(N)=O,IC50,840.0,CHEMBL215,active,2,3,236.29599999999996,2,True
CHEMBL93,CC(c1cc2ccccc2s1)N(O)C(N)=O,IC50,5120.0,CHEMBL215,intermediate,2,3,236.29599999999996,2,True
CHEMBL196,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,IC50,26500.0,CHEMBL612545,inactive,4,6,176.124,2,True
CHEMBL93,CC(c1cc2ccccc2s1)N(O)C(N)=O,IC50,1800.0,CHEMBL215,intermediate,2,3,236.29599999999996,2,True
CHEMBL93,CC(c1cc2ccccc2s1)N(O)C(N)=O,IC50,2200.0,CHEMBL215,intermediate,2,3,236.29599999999996,2,True
CHEMBL710,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,IC50,62.0,CHEMBL1787,active,2,2,372.55300000000017,1,True
