"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL1241590";"FLORFENICOL";"FLORFENICOL|NSC-759287|NUFLOR|SCH 25298|SCH-25298";"Small molecule";"-1.0";"358.22";"21";"175";"1.38";"83.47";"4";"2";"0";"6";"N";"0.75";"8.49";"None";"0.67";"0.64";"1";"MOL";"0";"21";"5";"2";"0";"357.0005";"-0.43";"NEUTRAL";"C12H14Cl2FNO4S";"CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc1";"AYIRNRDRBQJXIF-NXEZZACHSA-N"
"CHEMBL2103748";"CILOFUNGIN";"CILOFUNGIN|L-646991|LY-121019|LY121019";"Small molecule";"-1.0";"1030.14";"16";"35";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"1029.4906";"None";"None";"C49H71N7O17";"CCCCCCCCOc1ccc(C(=O)N[C@H]2C[C@@H](O)[C@@H](O)NC(=O)[C@@H]3[C@@H](O)[C@@H](C)CN3C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c3ccc(O)cc3)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@H]([C@@H](C)O)NC2=O)cc1";"ZKZKCEAHVFVZDJ-MTUMARHDSA-N"
"CHEMBL2303619";"CHROMOMYCIN A3";"ABURAMYCIN B|CHROMOMYCIN A3|Chromomycin A3|NSC-58514|TOYOMYCIN";"Small molecule";"-1.0";"1183.26";"12";"20";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"1182.5094";"None";"None";"C57H82O26";"CO[C@@H]1[C@H](O)C[C@@H](O[C@@H]2C[C@H](Oc3cc4cc5c(c(O)c4c(O)c3C)C(=O)[C@@H](O[C@H]3C[C@@H](O[C@H]4C[C@@H](O[C@H]6C[C@](C)(O)[C@@H](OC(C)=O)[C@H](C)O6)[C@H](O)[C@@H](C)O4)[C@H](O)[C@@H](C)O3)[C@H]([C@H](OC)C(=O)[C@@H](O)[C@@H](C)O)C5)O[C@H](C)[C@@H]2OC(C)=O)O[C@@H]1C";"ZYVSOIYQKUDENJ-WKSBCEQHSA-N"
"CHEMBL263367";"EVERNIMICIN";"EVERNIMICIN|EVERNINOMICIN|SCH 27899|SCH-27899|Ziracin";"Oligosaccharide";"-1.0";"1631.42";"5";"8";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"1629.5066";"None";"None";"C70H97Cl2NO38";"COC[C@H]1O[C@@H](O[C@@H]2OC[C@@H]3O[C@@]4(OC[C@@H](OC(=O)c5c(C)cc(O)cc5O)[C@@H]5OCO[C@H]54)O[C@H]3[C@H]2O)[C@@H](OC)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](C)[C@H](OC)[C@H](O[C@@H]2O[C@H](C)[C@H]3O[C@]4(C[C@@H](O)[C@H](O[C@H]5C[C@@H](O[C@H]6C[C@](C)([N+](=O)[O-])[C@@H](OC)[C@H](C)O6)[C@H](OC(=O)c6c(C)c(Cl)c(O)c(Cl)c6OC)[C@@H](C)O5)[C@@H](C)O4)O[C@]3(C)[C@@H]2O)[C@H]1O";"UPADRKHAIMTUCC-OWALTSPQSA-N"
"CHEMBL3989415";"RIFAMIDE";"N,N-DIETHYLRIFOMYCIN B AMIDE|NCI-143-418|NSC-133099|NSC-143418|RIFAMIDE|RIFAMYCIN B DIETHYLAMIDE|RIFAMYCIN DIETHYLAMIDE|RIFAMYCIN M-14|RIFOMYCIN M14";"Small molecule";"-1.0";"810.94";"";"";"5.30";"210.62";"13";"5";"3";"7";"N";"0.18";"7.09";"None";"4.15";"3.66";"2";"MOL";"0";"58";"15";"5";"3";"810.3939";"1.69";"NEUTRAL";"C43H58N2O13";"CCN(CC)C(=O)COc1cc2c(O)c3c(O)c(C)c4c(c13)C(=O)[C@@](C)(O/C=C/[C@H](OC)[C@@H](C)[C@@H](OC(C)=O)[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@@H](C)/C=C/C=C(/C)C(=O)N2)O4";"VFYNXKZVOUXHDX-VDPUEHCXSA-N"
"CHEMBL1908310";"ERYTHROMYCIN ACISTRATE";"ERYTHROMYCIN ACISTRATE|Erasis";"Small molecule";"-1.0";"1060.46";"1";"18";"2.36";"199.98";"15";"4";"2";"8";"N";"0.26";"12.68";"7.87";"3.04";"2.44";"0";"MOL";"0";"54";"15";"4";"2";"775.4718";"1.91";"NEUTRAL";"C57H105NO16";"CCCCCCCCCCCCCCCCCC(=O)O.CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2OC(C)=O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O";"FPEVNWDVXZGKCD-SAVXWCSHSA-N"
"CHEMBL32838";"FUMAGILLIN";"(-)-FUMAGILLIN|AMEBACILIN|FUMAGILLIN|Fumidil|NSC-9168|ZGN-201";"Small molecule";"-1.0";"458.55";"31";"77";"3.92";"97.89";"6";"1";"0";"10";"N";"0.17";"4.64";"None";"4.05";"1.36";"0";"MOL";"0";"33";"7";"1";"0";"458.2305";"2.69";"ACID";"C26H34O7";"CO[C@@H]1[C@H](OC(=O)/C=C/C=C/C=C/C=C/C(=O)O)CC[C@]2(CO2)[C@H]1[C@@]1(C)O[C@@H]1CC=C(C)C";"NGGMYCMLYOUNGM-CSDLUJIJSA-N"
"CHEMBL1877495";"BENMOXIN";"BENMOXIN|MEBAMOXINE";"Small molecule";"-1.0";"240.31";"5";"7";"2.68";"41.13";"2";"2";"0";"4";"N";"0.81";"None";"3.32";"2.89";"2.89";"2";"MOL";"0";"18";"3";"2";"0";"240.1263";"-1.04";"NEUTRAL";"C15H16N2O";"CC(NNC(=O)c1ccccc1)c1ccccc1";"BEWNZPMDJIGBED-UHFFFAOYSA-N"
"CHEMBL2106451";"GALARUBICIN";"GALARUBICIN";"Small molecule";"-1.0";"633.58";"";"";"-0.12";"232.37";"14";"6";"3";"8";"N";"0.14";"7.99";"8.97";"0.37";"0.00";"2";"MOL";"0";"45";"14";"7";"3";"633.1858";"1.34";"BASE";"C30H32FNO13";"COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)COC(=O)CCN)C[C@@H]3O[C@@H]1O[C@@H](C)[C@@H](O)[C@@H](O)[C@H]1F";"CKXIPXAIFMTQCS-LRDUUELOSA-N"
"CHEMBL3138624";"REPROMICIN";"REPROMICIN|SCH 16524|SCH-16524";"Small molecule";"-1.0";"565.75";"1";"1";"3.46";"122.60";"9";"2";"1";"6";"N";"0.37";"12.82";"7.68";"3.38";"2.92";"0";"MOL";"0";"40";"9";"2";"1";"565.3615";"2.16";"NEUTRAL";"C31H51NO8";"CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1C";"OBUIQEYZGMZXPJ-NPQHDNJNSA-N"
"CHEMBL2104401";"DETORUBICIN";"DETORUBICIN";"Small molecule";"-1.0";"673.67";"2";"19";"0.95";"230.60";"15";"5";"2";"11";"N";"0.11";"8.00";"9.03";"1.86";"1.43";"2";"MOL";"0";"48";"15";"6";"3";"673.2371";"1.36";"BASE";"C33H39NO14";"CCOC(OCC)C(=O)OCC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(OC)cccc1C3=O";"XZSRRNFBEIOBDA-CFNBKWCHSA-N"
